order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2010-11-19,17115.000000,1424.000000,4192.000000,SUPERIOR ALLOY,1424.000000,CAPMATIC,2010-11-22,2010-11-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20101119.000000,20101122.000000,20101122.000000
2010-11-19,17113.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4821.000000,JTA CORPORTATION,2010-11-19,2010-11-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20101119.000000,20101119.000000,20101122.000000
2010-11-22,17116.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2010-11-23,2010-11-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20101122.000000,20101123.000000,20101124.000000
2010-11-24,17120.000000,4501.000000,4501.000000,PRESTIGE TAG AND LABEL,4502.000000,MOORE CANADA,2010-11-25,2010-11-26,0.0,0.0,0.0,0.0,,0.0,,,0.0,20101124.000000,20101125.000000,20101126.000000
2010-11-19,17114.000000,4920.000000,4919.000000,EMBALLAGE CLEF,4920.000000,KHALSA PACKAGING INC.,2010-11-19,2010-11-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20101119.000000,20101119.000000,20101122.000000
2010-07-16,16982.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4556.000000,CARTHAGE FIBER DRUM,2010-07-16,2010-07-20,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100716.000000,20100716.000000,20100720.000000
2010-07-21,16990.000000,1424.000000,4876.000000,INOX,1424.000000,CAPMATIC,2010-07-23,2010-07-23,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100721.000000,20100723.000000,20100723.000000
2010-03-25,16844.000000,3169.000000,3169.000000,CONVERDIS,4415.000000,NORAMPAC-SCHENECTADY,2010-03-25,2010-03-29,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100325.000000,20100325.000000,20100329.000000
2010-03-29,16845.000000,1424.000000,4819.000000,TYSSENKRUPP,1424.000000,CAPMATIC,2010-03-29,2010-03-29,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100329.000000,20100329.000000,20100329.000000
2010-12-22,17153.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W. RALSTON CANADA INC.,2011-01-04,2011-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20101222.000000,20110104.000000,20110104.000000
2010-05-18,16898.000000,1424.000000,1424.000000,CAPMATIC,4849.000000,EMLU PRECISION,2010-05-19,2010-05-19,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100518.000000,20100519.000000,20100519.000000
2010-06-03,16924.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W. RALSTON CANADA INC.,2010-06-07,2010-06-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100603.000000,20100607.000000,20100608.000000
2010-06-21,16947.000000,4571.000000,4671.000000,TOURBIERE MILOT,4853.000000,BILL'S MUSHROOM,2010-06-22,2010-06-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100621.000000,20100622.000000,20100628.000000
2010-07-15,16981.000000,1424.000000,1424.000000,CAPMATIC,4876.000000,INOX,2010-07-16,2010-07-16,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100715.000000,20100716.000000,20100716.000000
2010-03-01,16824.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4789.000000,UNISOURCE PH,2010-03-02,2010-03-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100301.000000,20100302.000000,20100305.000000
2010-03-25,16843.000000,3755.000000,3134.000000,CASCADES ENVIROPAC,3755.000000,CASCADES ENVIROPAC,2010-03-30,2010-03-31,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100325.000000,20100330.000000,20100331.000000
2010-01-04,16779.000000,1079.000000,1079.000000,AEP CANADA,3729.000000,BUNZL MTL,2010-01-07,2010-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100104.000000,20100107.000000,20100108.000000
2010-01-05,16780.000000,1079.000000,1079.000000,AEP CANADA,1203.000000,BUNZL CANADA INC,2010-01-08,2010-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20100105.000000,20100108.000000,20100111.000000
