order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2007-01-05,15389.000000,1079.000000,1079.000000,AEP CANADA,3729.000000,BUNZL MTL,2007-01-09,2007-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070105.000000,20070109.000000,20070110.000000
2007-02-07,15439.000000,1424.000000,2678.000000,FILLAB,4264.000000,LABORATOIRE MSP,2007-02-08,2007-02-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070207.000000,20070208.000000,20070208.000000
2007-02-26,15479.000000,1424.000000,2678.000000,FILLAB,4227.000000,CAPEQ,2007-02-27,2007-02-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070226.000000,20070227.000000,20070227.000000
2007-03-06,15500.000000,3837.000000,4282.000000,MYLEX,3837.000000,CASCADES MULTIPRO,2007-03-06,2007-03-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070306.000000,20070306.000000,20070307.000000
2007-03-08,15505.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W. RALSTON CANADA INC.,2007-03-09,2007-03-12,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070308.000000,20070309.000000,20070312.000000
2007-08-09,15727.000000,1424.000000,4360.000000,FLEXLINK SYSTEMS CANADA,1424.000000,CAPMATIC,2007-08-10,2007-08-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070809.000000,20070810.000000,20070810.000000
2007-04-30,15571.000000,1424.000000,4192.000000,SUPERIOR ALLOY,1424.000000,CAPMATIC,2007-05-01,2007-05-01,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070430.000000,20070501.000000,20070501.000000
2007-03-26,15523.000000,1424.000000,1424.000000,CAPMATIC,3866.000000,BECTON DICKINSON,2007-03-27,2007-03-29,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070326.000000,20070327.000000,20070329.000000
2007-01-05,15390.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2007-01-08,2007-01-09,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070105.000000,20070108.000000,20070109.000000
2007-03-26,15522.000000,1424.000000,1424.000000,CAPMATIC,2678.000000,FILLAB,2007-03-28,2007-03-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070326.000000,20070328.000000,20070328.000000
2007-04-05,15539.000000,1079.000000,1079.000000,AEP CANADA,3290.000000,COLABOR,2007-04-13,2007-04-16,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070405.000000,20070413.000000,20070416.000000
2007-04-05,15540.000000,1424.000000,4227.000000,CAPEQ,2678.000000,FILLAB,2007-04-10,2007-04-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070405.000000,20070410.000000,20070410.000000
2007-01-02,15384.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2007-01-03,2007-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070102.000000,20070103.000000,20070104.000000
2007-01-03,15385.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2007-01-04,2007-01-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070103.000000,20070104.000000,20070105.000000
2007-01-05,15386.000000,1424.000000,2678.000000,FILLAB,1424.000000,CAPMATIC,2007-01-05,2007-01-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070105.000000,20070105.000000,20070105.000000
2007-01-05,15387.000000,1424.000000,1424.000000,CAPMATIC,3742.000000,LA TOMATE,2007-01-08,2007-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070105.000000,20070108.000000,20070108.000000
2007-01-05,15388.000000,1424.000000,2678.000000,FILLAB,3911.000000,BIO-ACTIF,2007-01-09,2007-01-09,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070105.000000,20070109.000000,20070109.000000
2007-02-07,15438.000000,1424.000000,4255.000000,EMBALLAGE FACOTEK,2678.000000,FILLAB,2007-02-12,2007-02-12,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070207.000000,20070212.000000,20070212.000000
2007-01-05,15391.000000,3134.000000,3134.000000,CASCADES ENVIROPAC,3837.000000,CASCADES MULTIPRO,2007-01-05,2007-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070105.000000,20070105.000000,20070108.000000
2007-01-08,15392.000000,3134.000000,3755.000000,CASCADES ENVIROPAC,3134.000000,CASCADES ENVIROPAC,2007-01-09,2007-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070108.000000,20070109.000000,20070110.000000
2007-01-09,15393.000000,3134.000000,4252.000000,AMORIM INDUSTRIAL SOLUTIONS,3134.000000,CASCADES ENVIROPAC,2007-01-09,2007-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070109.000000,20070109.000000,20070110.000000
2007-01-09,15394.000000,3134.000000,4243.000000,NORAMPAC SPB,3134.000000,CASCADES ENVIROPAC,2007-01-10,2007-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070109.000000,20070110.000000,20070111.000000
2007-01-09,15395.000000,3169.000000,3169.000000,CONVERDIS,4254.000000,ABITIBI CONSOLIDATED INC.,2007-01-10,2007-01-12,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070109.000000,20070110.000000,20070112.000000
2007-01-10,15396.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2007-01-11,2007-01-12,0.0,0.0,0.0,0.0,,0.0,,,0.0,20070110.000000,20070111.000000,20070112.000000
