order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2019-01-10,20784.000000,1424.000000,5729.000000,CAPMATIC WAREHOUSE#3,5885.000000,TWEED INC.,2019-01-14,2019-01-15,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190110.000000,20190114.000000,20190115.000000
2019-01-05,20776.000000,3755.000000,5991.000000,NORAMPAC NIAGARA,3755.000000,CASCADES ENVIROPAC,2019-01-10,2019-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190105.000000,20190110.000000,20190111.000000
2019-01-02,20767.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5987.000000,LAUDI-C SONORISATION,2019-01-03,2019-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190102.000000,20190103.000000,20190104.000000
2019-01-02,20768.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5988.000000,FMAV,2019-01-03,2019-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190102.000000,20190103.000000,20190108.000000
2019-01-02,20769.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5989.000000,G PRODUCTIONS,2019-01-03,2019-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190102.000000,20190103.000000,20190104.000000
2019-01-03,20770.000000,1424.000000,4192.000000,SUPERIOR ALLOY,1424.000000,CAPMATIC,2019-01-03,2019-01-03,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190103.000000,20190103.000000,20190103.000000
2019-01-03,20771.000000,3755.000000,5990.000000,CASCADES WHRS NIAGARA FALLS,3755.000000,CASCADES ENVIROPAC,2019-01-03,2019-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190103.000000,20190103.000000,20190104.000000
2019-01-04,20772.000000,3755.000000,5991.000000,NORAMPAC NIAGARA,3755.000000,CASCADES ENVIROPAC,2019-01-08,2019-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190104.000000,20190108.000000,20190110.000000
2019-01-04,20773.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5993.000000,JOEL THEATRICAL,2019-01-07,2019-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190104.000000,20190107.000000,20190108.000000
2019-01-04,20774.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5987.000000,LAUDI-C SONORISATION,2019-01-07,2019-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20190104.000000,20190107.000000,20190108.000000
