order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2014-01-15,18737.000000,3169.000000,5037.000000,OMYA INC.,3169.000000,CONVERDIS,2014-01-17,2014-01-20,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140115.000000,20140117.000000,20140120.000000
2014-01-07,18728.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4666.000000,UNISOURCE MECHANICSBURGH,2014-01-07,2014-01-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140107.000000,20140107.000000,20140113.000000
2014-01-06,18725.000000,3169.000000,5352.000000,KAPESTONE PAPER,3169.000000,CONVERDIS,2014-01-20,2014-01-23,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140106.000000,20140120.000000,20140123.000000
2014-01-06,18726.000000,3169.000000,5352.000000,KAPESTONE PAPER,3169.000000,CONVERDIS,2014-01-20,2014-01-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140106.000000,20140120.000000,20140122.000000
2014-01-06,18727.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5044.000000,GORHAM PAPER AND TISSUE,2014-01-06,2014-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140106.000000,20140106.000000,20140108.000000
2014-01-07,18729.000000,3169.000000,3169.000000,CONVERDIS,5259.000000,CERTAIN TEED CORP,2014-01-08,2014-01-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140107.000000,20140108.000000,20140113.000000
2014-01-07,18730.000000,3169.000000,4985.000000,SONOCO AL,3169.000000,CONVERDIS,2014-01-09,2014-01-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140107.000000,20140109.000000,20140113.000000
2014-01-13,18734.000000,1424.000000,4349.000000,TEKALIA,2571.000000,VERDUN ANODIZING,2014-01-14,2014-01-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140113.000000,20140114.000000,20140114.000000
2014-01-08,18732.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2014-01-13,2014-01-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140108.000000,20140113.000000,20140114.000000
2014-01-08,18733.000000,3169.000000,3169.000000,CONVERDIS,4386.000000,MENOMINEE PAPER CO.  (SUBS),2014-01-09,2014-01-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140108.000000,20140109.000000,20140114.000000
2014-01-13,18735.000000,3169.000000,3169.000000,CONVERDIS,4182.000000,ATLANTIC WHITBY,2014-01-15,2014-01-15,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140113.000000,20140115.000000,20140115.000000
2014-01-15,18736.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2014-01-20,2014-01-21,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140115.000000,20140120.000000,20140121.000000
2014-01-15,18738.000000,3169.000000,4985.000000,SONOCO AL,3169.000000,CONVERDIS,2014-01-20,2014-01-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140115.000000,20140120.000000,20140122.000000
2014-01-16,18739.000000,1424.000000,1424.000000,CAPMATIC,2678.000000,FILLAB,2014-01-20,2014-01-20,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140116.000000,20140120.000000,20140120.000000
2014-01-17,18740.000000,1424.000000,4759.000000,AIF INOX,1424.000000,CAPMATIC,2014-01-20,2014-01-20,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140117.000000,20140120.000000,20140120.000000
2014-01-20,18741.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4783.000000,SOUTHWORTH,2014-01-20,2014-01-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140120.000000,20140120.000000,20140122.000000
2014-01-21,18742.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5022.000000,MIDNITE HOUR PRODUCTION,2014-01-21,2014-01-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140121.000000,20140121.000000,20140122.000000
2014-01-22,18743.000000,1424.000000,2571.000000,VERDUN ANODIZING,4759.000000,AIF INOX,2014-01-22,2014-01-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140122.000000,20140122.000000,20140122.000000
2014-01-22,18744.000000,1273.000000,1079.000000,AEP CANADA,1273.000000,MULTIPLUS,2014-01-27,2014-01-31,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140122.000000,20140127.000000,20140131.000000
2014-01-22,18745.000000,3169.000000,5369.000000,KAPESTONE,3169.000000,CONVERDIS,2014-01-27,2014-01-29,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140122.000000,20140127.000000,20140129.000000
2014-01-23,18746.000000,3169.000000,4985.000000,SONOCO AL,3169.000000,CONVERDIS,2014-01-24,2014-01-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140123.000000,20140124.000000,20140127.000000
2014-01-23,18747.000000,1424.000000,1424.000000,CAPMATIC,5370.000000,LOUIS DANIEL THOUIN,2014-01-24,2014-01-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140123.000000,20140124.000000,20140128.000000
2014-01-23,18748.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4969.000000,ROMANOW CONTAINER,2014-01-23,2014-01-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140123.000000,20140123.000000,20140128.000000
2014-01-24,18749.000000,1424.000000,1424.000000,CAPMATIC,4452.000000,CAPMATIC BOOTH #4939,2014-01-31,2014-02-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140124.000000,20140131.000000,20140207.000000
2014-01-24,18750.000000,1424.000000,4452.000000,CAPMATIC BOOTH #4939,1424.000000,CAPMATIC,2014-02-15,2014-02-18,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140124.000000,20140215.000000,20140218.000000
2014-01-24,18751.000000,1424.000000,4349.000000,TEKALIA,4759.000000,AIF INOX,2014-01-27,2014-01-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140124.000000,20140127.000000,20140127.000000
2014-01-27,18752.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2014-01-30,2014-01-31,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140127.000000,20140130.000000,20140131.000000
2014-01-29,18753.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2014-02-03,2014-02-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140129.000000,20140203.000000,20140204.000000
2014-01-29,18754.000000,4948.000000,4948.000000,THEATRIXX TECHNOLOGIES,5022.000000,MIDNITE HOUR PRODUCTION,2014-01-29,2014-01-30,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140129.000000,20140129.000000,20140130.000000
2014-01-30,18755.000000,3169.000000,5037.000000,OMYA INC.,3169.000000,CONVERDIS,2014-02-03,2014-02-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140130.000000,20140203.000000,20140204.000000
2014-02-03,18756.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5034.000000,LABEL SUPPLY,2014-02-03,2014-02-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140203.000000,20140203.000000,20140204.000000
2014-02-04,18757.000000,1424.000000,4759.000000,AIF INOX,1424.000000,CAPMATIC,2014-02-04,2014-02-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140204.000000,20140204.000000,20140204.000000
2014-02-04,18758.000000,1424.000000,4349.000000,TEKALIA,2571.000000,VERDUN ANODIZING,2014-02-05,2014-02-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140204.000000,20140205.000000,20140205.000000
2014-02-14,18763.000000,3169.000000,3169.000000,CONVERDIS,5267.000000,SEALED AIR CORP.,2014-02-17,2014-02-18,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140214.000000,20140217.000000,20140218.000000
2014-02-09,18760.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2014-02-13,2014-02-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140209.000000,20140213.000000,20140214.000000
2014-02-11,18761.000000,1424.000000,1424.000000,CAPMATIC,5372.000000,GERMATRIA PRODUCTS INC.,2014-02-12,2014-02-18,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140211.000000,20140212.000000,20140218.000000
2014-02-12,18762.000000,3169.000000,5352.000000,KAPESTONE PAPER,3169.000000,CONVERDIS,2014-02-19,2014-02-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140212.000000,20140219.000000,20140224.000000
2014-02-14,18764.000000,1424.000000,2571.000000,VERDUN ANODIZING,4759.000000,AIF INOX,2014-02-17,2014-02-17,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140214.000000,20140217.000000,20140217.000000
2014-02-14,18765.000000,3169.000000,3169.000000,CONVERDIS,4725.000000,SONOCO BRANTFORD,2014-02-17,2014-02-19,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140214.000000,20140217.000000,20140219.000000
2014-02-17,18766.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5373.000000,BOUDREAULT CANADA LTÉE,2014-02-18,2014-02-19,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140217.000000,20140218.000000,20140219.000000
2014-02-18,18767.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2014-02-21,2014-02-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140218.000000,20140221.000000,20140224.000000
2014-02-19,18768.000000,3169.000000,3169.000000,CONVERDIS,4912.000000,JET CORE INC./ PRATT IND.,2014-02-20,2014-02-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140219.000000,20140220.000000,20140224.000000
2014-02-20,18769.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5256.000000,SONE ROCKWELL WHRS,2014-02-21,2014-02-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140220.000000,20140221.000000,20140224.000000
2014-02-26,18780.000000,1424.000000,4925.000000,LP TECHNOLOGIES,4915.000000,CN METAL,2014-02-26,2014-02-26,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140226.000000,20140226.000000,20140226.000000
2014-02-21,18771.000000,3169.000000,3169.000000,CONVERDIS,5259.000000,CERTAIN TEED CORP,2014-02-28,2014-03-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140221.000000,20140228.000000,20140304.000000
2014-02-21,18772.000000,1273.000000,1892.000000,CAT  TRANSPORT,1273.000000,MULTIPLUS,2014-02-24,2014-02-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140221.000000,20140224.000000,20140224.000000
2014-02-26,18781.000000,3169.000000,3169.000000,CONVERDIS,5128.000000,ZEBRA PAPER CONVERTERS,2014-02-27,2014-02-28,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140226.000000,20140227.000000,20140228.000000
2014-02-21,18775.000000,3169.000000,5323.000000,OMYA,3169.000000,CONVERDIS,2014-02-27,2014-02-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140221.000000,20140227.000000,20140227.000000
2014-02-21,18774.000000,3169.000000,3169.000000,CONVERDIS,5374.000000,MICHIGAN PACKAGING,2014-03-05,2014-03-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140221.000000,20140305.000000,20140305.000000
2014-02-24,18776.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4556.000000,CARTHAGE FIBER DRUM,2014-02-24,2014-02-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140224.000000,20140224.000000,20140225.000000
2014-02-24,18777.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5375.000000,SANDUSKY,2014-02-24,2014-03-03,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140224.000000,20140224.000000,20140303.000000
2014-02-26,18778.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4783.000000,SOUTHWORTH,2014-02-27,2014-03-03,0.0,0.0,0.0,0.0,,0.0,,,0.0,20140226.000000,20140227.000000,20140303.000000
