order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2008-02-21,16049.000000,3169.000000,3169.000000,CONVERDIS,4433.000000,DOMTAR PORT EDWARDS,2008-02-22,2008-02-26,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080221.000000,20080222.000000,20080226.000000
2008-05-02,16125.000000,3837.000000,4127.000000,VAUGHAN WOOD,3837.000000,CASCADES MULTIPRO,2008-05-05,2008-05-06,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080502.000000,20080505.000000,20080506.000000
2008-04-24,16121.000000,1079.000000,1079.000000,AEP CANADA,1203.000000,BUNZL CANADA INC,2008-04-30,2008-04-30,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080424.000000,20080430.000000,20080430.000000
2008-05-12,16133.000000,1424.000000,1424.000000,CAPMATIC,4499.000000,PATHEON PHARMACEUTICALS,2008-05-13,2008-05-15,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080512.000000,20080513.000000,20080515.000000
2008-05-12,16134.000000,1424.000000,4192.000000,SUPERIOR ALLOY,1424.000000,CAPMATIC,2008-05-13,2008-05-13,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080512.000000,20080513.000000,20080513.000000
2008-05-15,16140.000000,1424.000000,1424.000000,CAPMATIC,1424.000000,CAPMATIC,2008-05-15,2008-05-15,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080515.000000,20080515.000000,20080515.000000
2008-05-20,16151.000000,1079.000000,1079.000000,AEP CANADA,3290.000000,COLABOR,2008-05-22,2008-05-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080520.000000,20080522.000000,20080527.000000
2008-06-25,16188.000000,3837.000000,4282.000000,MYLEX,3837.000000,CASCADES MULTIPRO,2008-06-26,2008-06-27,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080625.000000,20080626.000000,20080627.000000
2008-01-21,16001.000000,4310.000000,4461.000000,GROUPE CDP,4462.000000,AROKO,2008-01-22,2008-01-23,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080121.000000,20080122.000000,20080123.000000
2008-02-12,16034.000000,1079.000000,1079.000000,AEP CANADA,1203.000000,BUNZL CANADA INC,2008-02-14,2008-02-15,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080212.000000,20080214.000000,20080215.000000
2008-02-19,16041.000000,1079.000000,1079.000000,AEP CANADA,3729.000000,BUNZL MTL,2008-02-21,2008-02-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080219.000000,20080221.000000,20080222.000000
2008-01-22,16002.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W. RALSTON CANADA INC.,2008-01-23,2008-01-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080122.000000,20080123.000000,20080124.000000
2008-09-16,16266.000000,4310.000000,4311.000000,TZANET,4573.000000,SCORES,2008-09-22,2008-09-23,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080916.000000,20080922.000000,20080923.000000
2008-09-24,16281.000000,1424.000000,4582.000000,AVREX,1424.000000,CAPMATIC,2008-09-25,2008-09-25,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080924.000000,20080925.000000,20080925.000000
2008-09-29,16291.000000,3837.000000,4441.000000,IKO INDUSTRIES,3837.000000,CASCADES MULTIPRO,2008-10-01,2008-10-01,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080929.000000,20081001.000000,20081001.000000
2008-10-29,16328.000000,1762.000000,4249.000000,WOLVERING TUBES,4250.000000,TRESSAGE BOREAL,2008-10-29,2008-10-30,0.0,0.0,0.0,0.0,,0.0,,,0.0,20081029.000000,20081029.000000,20081030.000000
2008-12-03,16376.000000,3837.000000,4282.000000,MYLEX,3837.000000,CASCADES MULTIPRO,2008-12-04,2008-12-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20081203.000000,20081204.000000,20081205.000000
2008-01-22,16003.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2008-01-23,2008-01-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080122.000000,20080123.000000,20080124.000000
2008-01-31,16018.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4427.000000,IFSL WAREHOUSE,2008-02-04,2008-02-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080131.000000,20080204.000000,20080205.000000
2008-01-15,15983.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4457.000000,JTA CORPORATION,2008-01-16,2008-01-17,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080115.000000,20080116.000000,20080117.000000
2008-01-02,15958.000000,1079.000000,1079.000000,AEP CANADA,1203.000000,BUNZL CANADA INC,2008-01-07,2008-01-09,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080102.000000,20080107.000000,20080109.000000
2008-01-03,15960.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2008-01-04,2008-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080103.000000,20080104.000000,20080107.000000
2008-01-03,15961.000000,3134.000000,3755.000000,CASCADES ENVIROPAC,3134.000000,CASCADES ENVIROPAC,2008-01-07,2008-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080103.000000,20080107.000000,20080108.000000
2008-01-04,15962.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4403.000000,BOWATER INC.,2008-01-04,2008-01-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080104.000000,20080104.000000,20080105.000000
2008-01-04,15963.000000,1762.000000,4249.000000,WOLVERING TUBES,4250.000000,TRESSAGE BOREAL,2008-01-07,2008-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080104.000000,20080107.000000,20080108.000000
2008-01-07,15964.000000,4380.000000,4380.000000,TRANSILWRAP,4445.000000,KETCHUM MANUFACTURING,2008-01-07,2008-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080107.000000,20080107.000000,20080107.000000
2008-01-07,15965.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2008-01-08,2008-01-09,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080107.000000,20080108.000000,20080109.000000
2008-01-07,15966.000000,3134.000000,3134.000000,CASCADES ENVIROPAC,3837.000000,CASCADES MULTIPRO,2008-01-08,2008-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080107.000000,20080108.000000,20080108.000000
2008-01-08,15967.000000,1079.000000,1079.000000,AEP CANADA,3729.000000,BUNZL MTL,2008-01-10,2008-01-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080108.000000,20080110.000000,20080111.000000
2008-01-08,15968.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4446.000000,SEAWOOD DANVILLE,2008-01-09,2008-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080108.000000,20080109.000000,20080110.000000
2008-01-08,15969.000000,3134.000000,3837.000000,CASCADES MULTIPRO,3134.000000,CASCADES ENVIROPAC,2008-01-09,2008-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20080108.000000,20080109.000000,20080110.000000
