order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
22984	2025-06-25	SCOTTS QUALI-GRO SAINT PAMPHILE,PQL'ORIGNAL,ON 1,250.00CA 1,000.00 250.00 22985 02/07/2025 SCOTTS DELHI ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 22986 02/07/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22979	2025-06-26	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22980	2025-06-26	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22981	2025-06-26	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1000.0	350.0					2025
22987	2025-07-02	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 1,375.00CA 1,050.00 325.00 22988 02/07/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22989	2025-07-03	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22990	2025-07-03	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22993	2025-07-03	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 225.00CA 115.00 110.00 22994 03/07/2025	EMBALLAGES AT MIRABEL,PQ	CANOE,BC	985.0	800.0	185.0					2025
22991	2025-07-04	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
22992	2025-07-04	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23008	2025-07-07	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23004	2025-07-09	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,025.00CA 1,600.00 425.00 23005 09/07/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,025.00CA 1,650.00 375.00 23006 10/07/2025 SCOTTS DELHI ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 23007 07/07/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23011	2025-07-10	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,200.00CA 900.00 300.00 23012 11/07/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 23013 09/07/2025 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 225.00CA 130.00 95.00 23014 10/07/2025	CAPMATIC LAREDO ,TX	MONTREAL-NORD,PQ	6150.0	5200.0	950.0					2025
23022	2025-07-15	SCOTTS	DELHI DELHI,ON	ROCKY VIEW,AB	865.0	650.0	215.0	3215.6425268379803		0.2021	0.0669	2025
23023	2025-07-15	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 250.00CA 130.00 120.00 23024 15/07/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 495.00CA 365.41 129.59 23025 17/07/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23018	2025-07-17	SCOTTS DELHI ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 23019 14/07/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 23020 15/07/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 23021 09/07/2025	SCOTTS QUALI-GRO L'ORIGNAL,ON	L'ORIGNAL,ON	150.0	0.0	150.0					2025
23027	2025-07-21	SCOTTS CANADA LTD ST-BONAVENTURE ST-MARGARETS,NB 850.00CA 650.00 200.00 23028 21/07/2025 SCOTTS CANADA LTD ST-BONAVENTURE MIRAMICHI,NB 750.00CA 550.00 200.00 23029 22/07/2025 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 115.00 35.00 23030 23/07/2025	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	225.0	125.0	100.0					2025
23015	2025-07-23	CAPMATIC MONTREAL-NORD,PCQHICAGO,IL 4,500.00CA 3,710.00 790.00 23016 01/08/2025	CAPMATIC CHICAGO,IL	MONTREAL-NORD,PQ	3900.0	3125.0	775.0					2025
23031	2025-07-25	CAPMATIC	ST-LAURENT,PQ	MONTREAL-NORD,PQ	275.0	160.0	115.0	12.266042140358689		13.0441	9.3755	2025
23033	2025-07-29	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 250.00CA 145.00 105.00 23034 30/07/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23035	2025-07-29	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23036	2025-07-30	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23038	2025-07-31	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23039	2025-08-01	EMBALLAGES	AT HAYWARD,CA	MIRABEL,PQ	2525.0	1600.0	925.0	4827.530260204421		0.3314	0.1916	2025
23040	2025-08-01	CAPMATIC MONTREAL-NORD,PLQAVAL,PQ 525.00CA 350.00 175.00 23041 04/08/2025 THEATRIXX TECHNOLOGIES ST-BRUNO DE MONTMAORNVTILRLEEAL,PQ 225.00CA 150.00 75.00 23042 04/08/2025	SCOTTS CANADA LTD LACHINE,PQ	WALLACEBURG,ON	1250.0	1000.0	250.0					2025
