order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
22017	2024-01-04	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 225.00CA 130.00 95.00 22018 09/01/2024 CAPMATIC MONTREAL-NORD,PTQERREBONNE,PQ 240.00CA 130.00 110.00 22019 09/01/2024	CAPMATIC LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0					2024
22022	2024-01-09	SCOTTS CANADA LTD ST-CHARLES-SUR-RDICEHLEHLI,IOENU 485.00CA 359.52 125.48 22023 12/01/2024 SCOTTS CANADA LTD ST-BONAVENTURE DELHI,ON 950.00CA 750.00 200.00 22024 11/01/2024 SCOTTS CANADA LTD ST-BONAVENTURE MIRAMICHI,NB 725.00CA 525.00 200.00 22025 16/01/2024	EMBALLAGES AT MIRABEL,PQ	AMOS,PQ	650.0	325.0	325.0					2024
22026	2024-01-16	EMBALLAGES AT MIRABEL,PQ ST-FÉLICIEN,PQ 425.00CA 341.70 83.30 22027 16/01/2024	DEXTER LONGUEUIL,PQ	TILLSONBURGH,ON	1750.0	1400.0	350.0					2024
22028	2024-01-23	SCOTTS CANADA LTD ST-BONAVENTURE DEBERT,NS 1,475.00CA 1,175.00 300.00 22029 23/01/2024 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 100.00 50.00 22030 26/01/2024	EMBALLAGES AT MIRABEL,PQ	COURCELLES,PQ	220.0	160.0	60.0					2024
22034	2024-02-02	CAPMATIC MONTREAL-NORD,PBQONHAM,TX 6,050.00CA 5,000.00 1,050.00 22035 05/02/2024 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 100.00 50.00 22037 07/02/2024 SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 22038 07/02/2024	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	225.0	175.0	50.0					2024
22039	2024-02-20	SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 22042 14/02/2024	DEXTER LONGUEUIL,PQ	TILLSONBURGH,ON	1400.0	1100.0	300.0					2024
22044	2024-02-22	SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 22045 15/02/2024 SCOTTS CANADA LTD ST-BONAVENTURE MIRAMICHI,NB 600.00CA 475.00 125.00 22046 16/02/2024 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 250.00CA 145.00 105.00 22047 20/02/2024	EMBALLAGES AT MIRABEL,PQ	RIVIERE-HEVA,PQ	350.0	250.0	100.0					2024
22048	2024-02-22	CAPMATIC MONTREAL-NORD,PTQERREBONNE,PQ 165.00CA 115.00 50.00 22049 22/02/2024	CAPMATIC TERREBONNE,PQ	MONTREAL-NORD,PQ	165.0	115.0	50.0					2024
22050	2024-02-22	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 100.00 50.00 22051 23/02/2024 SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,100.00 300.00 22052 27/02/2024 EMBALLAGES AT MIRABEL,PQ SAINT-HONORÉ DE SHENL3E9Y5.00CA 290.00 105.00 22053 29/02/2024	SCOTTS CANADA LTD LACHINE,PQ	DELHI,ON	625.0	450.0	175.0					2024
22054	2024-02-29	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	21.62309753600889		4.6247	2.3123	2024
22055	2024-03-05	SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,000.00 400.00 22056 01/03/2024 ENGRAIS McINNES	STANSTEAD,PQ	BURLINGTON,ON	1150.0	950.0	200.0	770.1432823043464		1.2335	0.2597	2024
22061	2024-03-07	CAPMATIC	ST-LAURENT ,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	12.266042140358689		8.1526	4.0763	2024
22062	2024-03-08	SCOTTS CANADA LTD ST-BONAVENTURE DELHI,ON 865.00CA 675.00 190.00 22063 11/03/2024	DEXTER LONGUEUIL,PQ	TRURO,NS	1375.0	1100.0	275.0					2024
22064	2024-03-12	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 100.00 50.00 22065 14/03/2024	SCOTTS CANADA LTD LACHINE,PQ	DELHI,ON	465.0	384.38	80.62					2024
22057	2024-03-13	CAPMATIC MONTREAL-NORD,PPQHILADELPHIA,PA 4,000.00CA 3,000.00 1,000.00 22058 08/03/2024 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22059 12/03/2024 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22060 23/03/2024	CAPMATIC PHILADELPHIA,PA	MONTREAL-NORD,PQ	3750.0	3000.0	750.0					2024
22066	2024-03-15	SCOTTS CANADA LTD EVANSVILLE ,IN ST-BONAVENTURE 575.00CA 550.30 24.70 22067 19/03/2024 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 115.00 35.00 22068 20/03/2024 DEXTER LONGUEUIL,PQ VAL DES SOURCES 1,150.00CA 900.00 250.00 22069 19/03/2024	EMBALLAGES AT MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0					2024
22072	2024-03-20	SCOTTS CANADA LTD CORNWALLIS PARKST-BONAVENTURE 875.00CA 600.00 275.00 22073 20/03/2024	CAPMATIC LAVAL,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0					2024
22074	2024-03-21	SCOTTS CANADA LTD ST-LUDGER DE MILODTELHI,ON 2,400.00CA 2,000.00 400.00 22075 21/03/2024	SCOTTS CANADA LTD MIRAMICHI,NB	L'ORIGNAL,ON	1450.0	1150.0	300.0					2024
