Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2024	12/31/2024			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22327 11/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22328 07/10/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	950.00 CA	700.00 250.00
22329 15/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22330 15/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22331 16/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22332 16/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22333 17/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22334 09/10/2024	CAPMATIC	POINTE-CLAIRE,PQ MONTREAL-NORD,PQ	225.00 CA	130.00 95.00
22335 10/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,100.00 CA	900.00 200.00
22336 17/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22337 18/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22338 28/10/2024	CAPMATIC	MONTREAL-NORD,PCQHICAGO,IL	3,500.00 CA	2,700.00 800.00
22339 28/10/2024	CAPMATIC	MONTREAL-NORD,PCQHICAGO,IL	4,025.00 CA	3,225.00 800.00
22340 29/10/2024	CAPMATIC	MONTREAL-NORD,PCQHICAGO,IL	4,250.00 CA	3,435.00 815.00
22342 18/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
