Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2022	12/31/2022			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
21506 20/05/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	285.00 CA	175.00 110.00
21507 25/05/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ LAS VEGAS,NV	7,800.00 CA	7,100.00 700.00
21508 19/05/2022	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21509 24/05/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	345.00 CA	205.00 140.00
21510 24/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21511 24/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,200.00 200.00
21512 25/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21513 26/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21514 11/06/2022	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV MONTREAL,PQ	7,250.00 CA	6,597.66 652.34
21515 26/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,150.00 250.00
21516 30/05/2022	CAPMATIC	MONTREAL-NORD,PSQT-JEAN DE MATHA	1,275.00 CA	1,000.00 275.00
21517 30/05/2022	CAPMATIC	MONTREAL-NORD,PSQT-JEAN DE MATHA	595.00 CA	450.00 145.00
21518 30/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,250.00 250.00
21519 30/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,150.00 250.00
21520 30/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21521 01/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21522 01/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,050.00 350.00
21523 31/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,300.00 300.00
21524 31/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21525 02/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,300.00 200.00
21526 31/05/2022	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ	150.00 CA	130.00 20.00
21527 31/05/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	255.00 CA	160.00 95.00
21528 01/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21529 02/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,300.00 300.00
21530 02/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,150.00 250.00
21531 03/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21532 03/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,150.00 250.00
21533 06/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21534 03/06/2022	SCOTTS CANADA LTD	ST-LAURENT,PQ L'ORIGNAL,ON	485.00 CA	400.00 85.00
21535 07/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21536 08/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21537 08/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21538 09/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21539 09/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,200.00 300.00
21540 09/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21541 09/06/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	3,650.00 CA	3,300.00 350.00
21542 09/06/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	3,650.00 CA	3,200.00 450.00
21543 15/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21544 13/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,150.00 250.00
21545 10/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21546 14/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,300.00 300.00
21547 09/06/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	345.00 CA	205.00 140.00
21548 14/06/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQBARNWELL,SC	593.75 CA	500.00 93.75
21550 16/06/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	3,650.00 CA	3,100.00 550.00
21551 14/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,300.00 300.00
21552 14/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,300.00 300.00
21553 14/06/2022	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ	150.00 CA	130.00 20.00
21554 14/06/2022	CAPMATIC	LAVAL, MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21555 16/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
