Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2023	12/31/2023		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
21895 21/09/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
21896 26/09/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 375.00 CA	205.00 170.00
21897 03/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21898 04/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,150.00 350.00
21899 28/09/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21900 02/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21901 03/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21902 04/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21903 05/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21904 29/09/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-PAMPHILE,PQ 400.00 CA	305.00 95.00
21905 02/10/2023	EMBALLAGES AT	SAINT-PAMPHILE,PQMIRABEL,PQ 625.00 CA	500.00 125.00
21906 02/10/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-HONORÉ-DE 800.00 CA	670.00 130.00
21907 02/10/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 850.00 CA	625.00 225.00
21908 11/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21909 12/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21910 13/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21911 05/10/2023	EMBALLAGES AT	MIRABEL,PQ WEST BRANCH,NB 1,165.00 CA	1,000.00 165.00
21912 05/10/2023	EMBALLAGES AT	MIRABEL,PQ LAMBTON,PQ 205.00 CA	165.00 40.00
21913 06/10/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-QUENTIN,NB 790.00 CA	650.00 140.00
21914 11/10/2023	CASCADES SONOCO INC.	ST-LAURENT,PQ BERTHIERVILLE,PQ 295.00 CA	157.12 137.88
21915 11/10/2023	ENGRAIS McINNES	STANSTEAD,PQ GATINEAU,PQ 350.00 CA	231.66 118.34
21916 11/10/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 725.00 CA	550.00 175.00
21917 17/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21918 18/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21919 19/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21920 23/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21921 16/10/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	950.00 250.00
21922 16/10/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
21923 24/10/2023	CAPMATIC	CYPRESS,CA MONTREAL-NORD,PQ 1,775.00 CA	1,400.00 375.00
21924 19/10/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 275.00 CA	160.00 115.00
