Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2025	09/14/2025			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22862 11/04/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,350.00 CA	1,000.00 350.00
22863 10/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,200.00 CA	900.00 300.00
22865 04/04/2025	SCOTTS QUALI-GRO	LACHINE,PQ L'ORIGNAL,ON	515.00 CA	375.00 140.00
22866 04/04/2025	SCOTTS DELHI	ST-CHARLES-SUR-RDICEHLEHLI,IOENU	510.00 CA	374.44 135.56
22867 07/04/2025	ENGRAIS McINNES	GOWANSTOWN,ONSTANSTEAD,PQ	2,275.00 CA	2,000.00 275.00
22868 10/04/2025	CAPMATIC	FAIRFIELD,NJ MONTREAL-NORD,PQ	1,700.00 CA	1,250.00 450.00
22869 10/04/2025	CAPMATIC	FAIRFIELD,NJ MONTREAL-NORD,PQ	1,700.00 CA	1,250.00 450.00
22870 09/04/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON	2,000.00 CA	1,700.00 300.00
22871 09/04/2025	SCOTTS CANADA LTD	ST-BONAVENTURE DELHI,ON	595.00 CA	464.25 130.75
22872 09/04/2025	SCOTTS QUALI-GRO	LACHINE,PQ L'ORIGNAL,ON	550.00 CA	350.00 200.00
22873 09/04/2025	SCOTTS DELHI	MIRAMICHI,NB DELHI,ON	1,650.00 CA	1,300.00 350.00
22874 14/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22875 16/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22876 22/04/2025	SCOTTS CANADA LTD	STANSTEAD,PQ TABUSINTAC,NB	1,225.00 CA	900.00 325.00
22877 21/04/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22878 25/04/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22879 22/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22880 23/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,200.00 CA	900.00 300.00
22881 24/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22882 22/04/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
