Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
22883 24/04/2025	SCOTTS CANADA LTD	ST-BONAVENTURE L'ORIGNAL,ON	295.00 CA	190.39 104.61
22884 28/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22885 29/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22887 01/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22888 02/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22889 25/04/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB	595.00 CA	425.00 170.00
22890 02/05/2025	CAPMATIC	MONTREAL-NORD,PLQAREDO ,TX	5,975.00 CA	5,300.00 675.00
22892 30/04/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB	595.00 CA	425.00 170.00
22893 30/04/2025	SCOTTS DELHI	MIRAMICHI,NB DELHI,ON	2,150.00 CA	1,600.00 550.00
22894 05/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22895 06/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22896 07/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22897 08/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22898 09/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,000.00 300.00
22899 01/05/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
22900 06/05/2025	EMBALLAGES AT	LANDRIENNE,PQ MIRABEL,PQ	1,700.00 CA	1,500.00 200.00
22901 08/05/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON	1,250.00 CA	1,000.00 250.00
22902 07/05/2025	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	650.00 CA	400.00 250.00
22903 08/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22904 08/05/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,150.00 CA	850.00 300.00
22906 15/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,100.00 400.00
22908 26/05/2025	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	2,400.00 CA	2,100.00 300.00
22909 12/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22910 16/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22911 09/05/2025	SCOTTS CANADA LTD	ST-BONAVENTURE L'ORIGNAL,ON	295.00 CA	190.23 104.77
22912 13/05/2025	CAPMATIC	MONTREAL-NORD,PWQINNIPEG,MB	650.00 CA	475.00 175.00
22913 14/05/2025	EMBALLAGES AT	SAINT-PAMPHILE,PQMIRABEL,PQ	975.00 CA	780.00 195.00
22914 15/05/2025	SCOTTS DELHI	DELHI,ON ST-PAUL DE JOLIETTE	1,450.00 CA	1,125.00 325.00
22915 15/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
