Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2025	09/14/2025		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
22705 06/01/2025	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 700.00 CA	450.00 250.00
22711 06/01/2025	EMBALLAGES AT	MIRABEL,PQ ST-JUST DE BRETENIERES685.00 CA	550.00 135.00
22712 06/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22713 08/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,100.00 400.00
22714 09/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22715 07/01/2025	EMBALLAGES AT	MIRABEL,PQ BELLEDUNE,NB 1,035.00 CA	800.00 235.00
22716 09/01/2025	EMBALLAGES AT	MIRABEL,PQ MORROW,GA 2,350.00 CA	1,650.00 700.00
22717 31/01/2025	EMBALLAGES AT	ATLANTA,GA MIRABEL,PQ 4,850.00 CA	3,900.00 950.00
22718 08/01/2025	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 750.00 CA	550.00 200.00
22719 01/01/2025	LICAFLEX	WINNIPEG,MB LACHINE,PQ 1,025.00 CA	0.00 1,025.00
22720 09/01/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
22721 09/01/2025	SCOTTS CANADA LTD	LACHINE,PQ WINNIPEG,MB 725.00 CA	550.00 175.00
22722 10/01/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,200.00 CA	1,000.00 200.00
22723 13/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22724 15/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,100.00 400.00
22725 21/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22726 13/01/2025	EMBALLAGES AT	MIRABEL,PQ HIALEAH,FL 745.00 CA	600.00 145.00
22727 13/01/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON DELHI,ON 305.00 CA	241.06 63.94
22728 13/01/2025	SCOTTS CANADA LTD	TABUSINTAC,NB ST-BONAVENTURE 1,190.00 CA	1,001.12 188.88
22729 14/01/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,200.00 CA	1,000.00 200.00
22731 15/01/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22732 22/01/2025	SCOTTS DELHI	DELHI,ON GATINEAU,PQ 1,125.00 CA	850.00 275.00
