Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
22733 20/01/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	1,150.00 200.00
22734 21/01/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	1,150.00 200.00
22735 22/01/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	1,150.00 200.00
22736 23/01/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	1,100.00 250.00
22737 21/01/2025	CAPMATIC	LACHINE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22740 27/01/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
22741 27/01/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,250.00 CA	1,000.00 250.00
22742 30/01/2025	EMBALLAGES AT	BROOKLYN PARK,MMNIRABEL,PQ 1,725.00 CA	1,400.00 325.00
22743 28/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22744 29/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22745 31/01/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22746 29/01/2025	CAPMATIC	MONTREAL-NORD,PPQAMONA,CA 7,800.00 CA	6,500.00 1,300.00
22747 28/01/2025	CAPMATIC	MONTREAL-NORD,PHQEBRON,KY 3,800.00 CA	2,800.00 1,000.00
22748 30/01/2025	CAPMATIC	MONTREAL-NORD,PHQEBRON,KY 5,800.00 CA	4,800.00 1,000.00
22749 30/01/2025	CAPMATIC	MONTREAL-NORD,PHQEBRON,KY 5,800.00 CA	4,800.00 1,000.00
22750 30/01/2025	CAPMATIC	MONTREAL-NORD,PHQEBRON,KY 5,800.00 CA	4,800.00 1,000.00
22751 31/01/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22752 31/01/2025	SCOTTS DELHI	LACHINE,PQ DELHI,ON 1,200.00 CA	900.00 300.00
22753 03/02/2025	SCOTTS CANADA LTD	LACHINE,PQ WINNIPEG,MB 1,850.00 CA	1,600.00 250.00
22754 31/01/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB 1,195.00 CA	950.00 245.00
22755 03/02/2025	CAPMATIC	MONTREAL-NORD,PSQT-LAURENT,PQ 150.00 CA	115.00 35.00
22756 04/02/2025	SCOTTS CANADA LTD	NOTRE-DAME-DES- ST-BONAVENTURE 795.00 CA	675.00 120.00
22757 05/02/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB 625.00 CA	450.00 175.00
22758 07/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE 2,150.00 CA	1,400.00 750.00
22759 07/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE 2,150.00 CA	1,750.00 400.00
22760 07/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE 2,150.00 CA	1,400.00 750.00
22761 06/02/2025	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
