order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	revenue_per_km	cost_per_km	margin_per_km
21412	2022-01-10	CAPMATIC MONTREAL-NORD,PBQARRIE,ON 293.75CA 215.00 78.75 21413 14/01/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 187.50CA 100.00 87.50 21414 18/01/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 140.63CA 75.00 65.63 21415 20/01/2022	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75				
21416	2022-01-24	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 281.25CA 150.00 131.25 21417 27/01/2022	ENVIREM ORGANICS MIRAMICHI,NB	VIRGIL,ON	2400.0	2000.0	400.0				
21418	2022-02-01	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,000.00CA 900.00 100.00 21419 31/01/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 93.75CA 50.00 43.75 21420 02/02/2022 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,000.00CA 900.00 100.00 21421 01/02/2022	CAPMATIC LACHINE,PQ	MONTREAL-NORD,PQ	93.75	50.0	43.75				
21422	2022-01-31	CAPMATIC MONTREAL-NORD,PMQONTREAL-NORD,PQ 0.08CA 0.00 0.08 21423 07/02/2022	EMBALLAGES AT MIRABEL,PQ	SAINT-QUENTIN,NB	1062.5	900.0	162.5				
21425	2022-02-08	CASCADES SONOCO INC. BERTHIERVILLE,PQBIRMINGHAM,AL 1,906.25CA 1,400.00 506.25 21426 07/02/2022 CASCADES SONOCO INC. BERTHIERVILLE,PQRICHMOND,VA 687.50CA 525.00 162.50 21427 09/02/2022 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 234.38CA 125.00 109.38 21428 14/02/2022	GMJ LOGISTIQUE RED DEER,AB	MONTREAL-EST,PQ	3200.0	2800.0	400.0				
21429	2022-02-10	SCOTTS	CANADA LTD MIRAMICHI,NB	VERCHERES,PQ	1300.0	1000.0	300.0				
21430	2022-02-11	EMBALLAGES	AT MIRABEL,PQ	NEEPAWA,MB	1500.0	1350.0	150.0	2338.2367403588105	0.6415	0.5774	0.0642
21431	2022-02-14	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,000.00CA 800.00 200.00 21432 14/02/2022	EMBALLAGES AT CAMBRIDGE,ON	MIRABEL,PQ	375.0	309.57	65.43				
21433	2022-02-15	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,200.00CA 950.00 250.00 21434 15/02/2022	GMJ LOGISTIQUE SHERBROOKE,PQ	MONTREAL-EST,PQ	205.0	125.0	80.0				
21435	2022-02-15	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 187.50CA 100.00 87.50 21436 16/02/2022	EMBALLAGES AT MIRABEL,PQ	ST-JOHN,NB	525.0	425.0	100.0				
