Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2025	09/14/2025			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
23127 09/09/2025	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	900.00 CA	0.00 900.00
23128 11/09/2025	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	900.00 CA	775.00 125.00
23129 10/09/2025	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	900.00 CA	775.00 125.00
23130 10/09/2025	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	900.00 CA	775.00 125.00
23131 12/09/2025	SCOTTS QUALI-GRO	ST-HUBERT,PQ L'ORIGNAL,ON	600.00 CA	500.00 100.00
		Grand Total:	579,860.00 CA	456,131.89 123,728.11
			0.00 US	
