Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2025	09/14/2025		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
22916 14/05/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON DELHI,ON 2,150.00 CA	1,850.00 300.00
22917 16/05/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON DELHI,ON 2,150.00 CA	1,800.00 350.00
22918 15/05/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON DELHI,ON 2,150.00 CA	1,500.00 650.00
22919 16/05/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON DELHI,ON 2,500.00 CA	2,200.00 300.00
22920 16/05/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON DELHI,ON 2,500.00 CA	2,200.00 300.00
22921 15/05/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 515.00 CA	383.36 131.64
22922 15/05/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
22923 16/05/2025	SCOTTS DELHI	LACHINE,PQ DELHI,ON 1,475.00 CA	1,080.00 395.00
22924 16/05/2025	SCOTTS QUALI-GRO	LACHINE,PQ L'ORIGNAL,ON 295.00 CA	225.00 70.00
22925 17/05/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE 1,200.00 CA	700.00 500.00
22926 21/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22927 22/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22928 21/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22929 23/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22930 22/05/2025	SCOTTS DELHI	MIRAMICHI,NB DELHI,ON 1,675.00 CA	1,400.00 275.00
22931 26/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22932 27/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22933 30/05/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22934 29/05/2025	SCOTTS DELHI	DELHI,ON MIRAMICHI,NB 1,500.00 CA	2,300.00 -800.00
22935 27/05/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 275.00 CA	160.00 115.00
22936 28/05/2025	CAPMATIC	MONTREAL-NORD,PSQOLON,OH 2,550.00 CA	2,000.00 550.00
