Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
22937 27/05/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 630.00 CA	492.05 137.95
22938 28/05/2025	EMBALLAGES AT	MIRABEL,PQ ST-JUST DE BRETENIERES715.00 CA	550.00 165.00
22939 28/05/2025	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB 895.00 CA	700.00 195.00
22940 28/05/2025	SCOTTS CANADA LTD	ST-CHARLES-SUR-RWICAHLELLAIECUEBURG,ON 435.00 CA	320.80 114.20
22941 28/05/2025	CAPMATIC	MONTREAL-NORD,PSQAINT-HYACINTHE, 395.00 CA	225.00 170.00
22942 29/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22943 30/05/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22944 02/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22945 05/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22946 06/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22947 05/06/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22948 06/06/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22949 09/06/2025	SCOTTS DELHI	ST-LUDGER DE MILODTELHI,ON 2,400.00 CA	2,100.00 300.00
22950 02/06/2025	SCOTTS CANADA LTD	ST-ALBAN,PQ ST-BONAVENTURE 245.00 CA	150.00 95.00
22951 03/06/2025	SCOTTS CANADA LTD	ST-BONAVENTURE DELHI,ON 825.00 CA	650.00 175.00
22952 05/06/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
22953 10/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22954 11/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22955 11/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22956 10/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
22957 10/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	1,000.00 350.00
22958 06/06/2025	SCOTTS QUALI-GRO	LACHINE,PQ L'ORIGNAL,ON 295.00 CA	200.00 95.00
22959 11/06/2025	CAPMATIC	MONTREAL-NORD,PWQINNIPEG,MB 5,325.00 CA	4,600.00 725.00
22960 10/06/2025	SCOTTS CANADA LTD	ST-CHARLES-SUR-RWICAHLELLAIECUEBURG,ON 435.00 CA	317.60 117.40
22962 12/06/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22963 13/06/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
22964 13/06/2025	SCOTTS DELHI	ST-HUBERT,PQ DELHI,ON 925.00 CA	750.00 175.00
22966 18/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
