Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2024	12/31/2024		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
22017 04/01/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
22018 09/01/2024	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ 240.00 CA	130.00 110.00
22019 09/01/2024	CAPMATIC	LACHINE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22020 10/01/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22021 11/01/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22022 09/01/2024	SCOTTS CANADA LTD	ST-CHARLES-SUR-RDICEHLEHLI,IOENU 485.00 CA	359.52 125.48
22023 12/01/2024	SCOTTS CANADA LTD	ST-BONAVENTURE DELHI,ON 950.00 CA	750.00 200.00
22024 11/01/2024	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB 725.00 CA	525.00 200.00
22025 16/01/2024	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 650.00 CA	325.00 325.00
22026 16/01/2024	EMBALLAGES AT	MIRABEL,PQ ST-FÉLICIEN,PQ 425.00 CA	341.70 83.30
22027 16/01/2024	DEXTER	LONGUEUIL,PQ TILLSONBURGH,ON 1,750.00 CA	1,400.00 350.00
22028 23/01/2024	SCOTTS CANADA LTD	ST-BONAVENTURE DEBERT,NS 1,475.00 CA	1,175.00 300.00
22029 23/01/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22030 26/01/2024	EMBALLAGES AT	MIRABEL,PQ COURCELLES,PQ 220.00 CA	160.00 60.00
22031 29/01/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
