Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
22033 01/02/2024	CAPMATIC	MONTREAL-NORD,PBQONHAM,TX 6,050.00 CA	5,000.00 1,050.00
22034 02/02/2024	CAPMATIC	MONTREAL-NORD,PBQONHAM,TX 6,050.00 CA	5,000.00 1,050.00
22035 05/02/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22037 07/02/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON 2,400.00 CA	2,100.00 300.00
22038 07/02/2024	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 225.00 CA	175.00 50.00
22039 20/02/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON 2,400.00 CA	2,100.00 300.00
22042 14/02/2024	DEXTER	LONGUEUIL,PQ TILLSONBURGH,ON 1,400.00 CA	1,100.00 300.00
22043 15/02/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22044 22/02/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON 2,400.00 CA	2,100.00 300.00
22045 15/02/2024	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB 600.00 CA	475.00 125.00
22046 16/02/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
22047 20/02/2024	EMBALLAGES AT	MIRABEL,PQ RIVIERE-HEVA,PQ 350.00 CA	250.00 100.00
22048 22/02/2024	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ 165.00 CA	115.00 50.00
22049 22/02/2024	CAPMATIC	TERREBONNE,PQ MONTREAL-NORD,PQ 165.00 CA	115.00 50.00
22050 22/02/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22051 23/02/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON 2,400.00 CA	2,100.00 300.00
22052 27/02/2024	EMBALLAGES AT	MIRABEL,PQ SAINT-HONORÉ DE SHENL3E9Y5.00 CA	290.00 105.00
22053 29/02/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON 625.00 CA	450.00 175.00
22054 29/02/2024	CAPMATIC	LACHINE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22055 05/03/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON 2,400.00 CA	2,000.00 400.00
22056 01/03/2024	ENGRAIS McINNES	STANSTEAD,PQ BURLINGTON,ON 1,150.00 CA	950.00 200.00
22057 13/03/2024	CAPMATIC	MONTREAL-NORD,PPQHILADELPHIA,PA 4,000.00 CA	3,000.00 1,000.00
22058 08/03/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22059 12/03/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22060 23/03/2024	CAPMATIC	PHILADELPHIA,PA MONTREAL-NORD,PQ 3,750.00 CA	3,000.00 750.00
22061 07/03/2024	CAPMATIC	ST-LAURENT ,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22062 08/03/2024	SCOTTS CANADA LTD	ST-BONAVENTURE DELHI,ON 865.00 CA	675.00 190.00
22063 11/03/2024	DEXTER	LONGUEUIL,PQ TRURO,NS 1,375.00 CA	1,100.00 275.00
22064 12/03/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22065 14/03/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON 465.00 CA	384.38 80.62
22066 15/03/2024	SCOTTS CANADA LTD	EVANSVILLE ,IN ST-BONAVENTURE 575.00 CA	550.30 24.70
22067 19/03/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
22068 20/03/2024	DEXTER	LONGUEUIL,PQ VAL DES SOURCES 1,150.00 CA	900.00 250.00
22069 19/03/2024	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 750.00 CA	550.00 200.00
