order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	revenue_per_km	cost_per_km	margin_per_km
21742	2023-01-04	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 115.00 35.00 21743 03/01/2023 EMBALLAGES AT MIRABEL,PQ ST-JUST DE BRETENIER1E,S285.00CA 1,045.00 240.00 21744 06/01/2023 EMBALLAGES AT MIRABEL,PQ ST-EPHREM DE BEAUCE 950.00CA 725.00 225.00 21745 06/01/2023	EMBALLAGES AT MIRABEL,PQ	SAINT-PAMPHILE,PQ	775.0	625.0	150.0				
21746	2023-01-10	THEATRIXX	TECHNOLOGIES DORVAL,PQ	MONTREAL,PQ	150.0	115.0	35.0				
21747	2023-01-17	EMBALLAGES	AT MIRABEL,PQ	LA SARRE,PQ	795.0	650.0	145.0	626.7611300047648	1.2684	1.0371	0.2313
21748	2023-01-16	EMBALLAGES	AT MIRABEL,PQ	AMOS,PQ	600.0	300.0	300.0	535.8598037647228	1.1197	0.5598	0.5598
21749	2023-01-26	CAPMATIC MONTREAL-NORD,PAQNAHEIM,CA 8,850.00CA 7,770.00 1,080.00 21750 23/01/2023	EMBALLAGES AT MIRABEL,PQ	AMOS,PQ	800.0	650.0	150.0				
21751	2023-01-20	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	22.48736113281714	6.6704	5.114	1.5564
21753	2023-01-25	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 225.00CA 145.00 80.00 21754 30/01/2023 CAPMATIC MONTREAL-NORD,PMQT PROSPECT,IL 750.00CA 500.00 250.00 21755 01/02/2023 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 115.00 35.00 21756 09/02/2023	EMBALLAGES AT MIRABEL,PQ	LA SARRE,PQ	815.0	650.0	165.0				
21757	2023-02-15	EMBALLAGES	AT MIRABEL,PQ	WEST BRANCH,NB	650.0	575.0	75.0	852.1793533641431	0.7628	0.6747	0.088
21758	2023-02-16	CAPMATIC MONTREAL-NORD,PBQOUCHERVILLE,PQ 225.00CA 145.00 80.00 21759 16/02/2023 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 575.00CA 400.00 175.00 21760 20/02/2023 CAPMATIC MONTREAL-NORD,PTQERREBONNE,PQ 175.00CA 115.00 60.00 21761 24/02/2023	CAPMATIC LAVAL,PQ	MONTREAL-NORD,PQ	150.0	75.0	75.0				
21762	2023-02-28	CAPMATIC	CYPRESS,CA	MONTREAL-NORD,PQ	8150.0	7200.0	950.0	4751.8010549947385	1.7151	1.5152	0.1999
21763	2023-03-01	EMBALLAGES	AT MIRABEL,PQ	AMOS,PQ	800.0	650.0	150.0	535.8598037647228	1.4929	1.213	0.2799
21764	2023-03-07	SCOTTS CANADA LTD ST-BONAVENTURE SAINT CATHARINES 1,600.00CA 1,450.00 150.00 21765 07/03/2023 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 405.00CA 235.00 170.00 21766 09/03/2023 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,400.00CA 1,100.00 300.00 21767 08/03/2023	SCOTTS CANADA LTD LACHINE,PQ	DELHI,ON	1000.0	850.0	150.0				
21770	2023-03-10	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,500.00CA 1,200.00 300.00 21771 10/03/2023 EMBALLAGES AT MIRABEL,PQ SAINT-HONORÉ-DE 450.00CA 300.00 150.00 21772 13/03/2023 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 255.00CA 160.00 95.00 21773 14/03/2023	CAPMATIC TERREBONNE,PQ	MONTREAL-NORD,PQ	240.0	130.0	110.0				
21776	2023-03-20	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,400.00CA 1,150.00 250.00 21777 21/03/2023 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,500.00CA 1,100.00 400.00 21778 20/03/2023 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 225.00CA 145.00 80.00 21779 21/03/2023	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0				
