order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	revenue_per_km	cost_per_km	margin_per_km
22705	2025-01-06	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	700.0	450.0	250.0	535.1762720094367	1.308	0.8408	0.4671
22711	2025-01-06	EMBALLAGES AT			685.0	550.0	135.0				
22712	2025-01-06	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22713	2025-01-08	SCOTTS CANADA LTD			1500.0	1100.0	400.0				
22714	2025-01-09	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22715	2025-01-07	EMBALLAGES AT	MIRABEL,PQ	BELLEDUNE,NB	1035.0	800.0	235.0	799.0319238788935	1.2953	1.0012	0.2941
22716	2025-01-09	EMBALLAGES AT	MIRABEL,PQ	MORROW,GA	2350.0	1650.0	700.0	1921.720741521415	1.2229	0.8586	0.3643
22717	2025-01-31	EMBALLAGES AT	ATLANTA,GA	MIRABEL,PQ	4850.0	3900.0	950.0	1904.2634582744251	2.5469	2.048	0.4989
22718	2025-01-08	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367	1.4014	1.0277	0.3737
22719	2025-01-01	LICAFLEX	WINNIPEG,MB	LACHINE,PQ	1025.0	0.0	1025.0	2179.156608557369	0.4704	0.0	0.4704
22720	2025-01-09	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22721	2025-01-09	SCOTTS CANADA LTD	LACHINE,PQ	WINNIPEG,MB	725.0	550.0	175.0	2179.156608557369	0.3327	0.2524	0.0803
22722	2025-01-10	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1200.0	1000.0	200.0	659.857	1.8186	1.5155	0.3031
22723	2025-01-13	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22724	2025-01-15	SCOTTS CANADA LTD			1500.0	1100.0	400.0				
22725	2025-01-21	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22726	2025-01-13	EMBALLAGES AT	MIRABEL,PQ	HIALEAH,FL	745.0	600.0	145.0	2723.1697154132276	0.2736	0.2203	0.0532
22727	2025-01-13	SCOTTS QUALI-GRO	L'ORIGNAL,ON	DELHI,ON	305.0	241.06	63.94	666.7768536639408	0.4574	0.3615	0.0959
22728	2025-01-13	SCOTTS CANADA LTD			1190.0	1001.12	188.88				
22729	2025-01-14	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1200.0	1000.0	200.0	659.857	1.8186	1.5155	0.3031
