Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2024	12/31/2024			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22378 21/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22379 15/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,050.00 CA	850.00 200.00
22380 15/10/2024	SCOTTS CANADA LTD	ST-BONAVENTURE ST-MARGARETS,NB	975.00 CA	750.00 225.00
22381 17/10/2024	SCOTTS DELHI	DELHI,ON ST-MARGARETS,NB	1,225.00 CA	1,025.00 200.00
22382 16/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
22384 21/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22385 21/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22386 21/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22387 21/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22388 21/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22389 22/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22390 22/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22391 22/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22392 22/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
22393 22/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON	1,750.00 CA	1,450.00 300.00
