Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
22290 16/09/2024	CAPMATIC	MONTREAL-NORD,PSQT-LAURENT,PQ 300.00 CA	175.00 125.00
22291 16/09/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,150.00 CA	950.00 200.00
22292 17/09/2024	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
22293 18/09/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,150.00 CA	1,000.00 150.00
22294 18/09/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22295 24/09/2024	EMBALLAGES AT	MIRABEL,PQ ST-ELZÉAR,PQ 875.00 CA	700.00 175.00
22296 26/09/2024	EMBALLAGES AT	ST-ELZÉAR,PQ MIRABEL,PQ 1,375.00 CA	1,125.00 250.00
22297 19/09/2024	CAPMATIC	LACHINE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22298 19/09/2024	EMBALLAGES AT	MIRABEL,PQ NOUVELLE-OUEST, 655.00 CA	500.00 155.00
22299 20/09/2024	SCOTTS CANADA LTD	ST-BONAVENTURE DELHI,ON 325.00 CA	263.09 61.91
22300 26/09/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
22303 01/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOL'TORIGNAL,ON 1,500.00 CA	1,300.00 200.00
22304 01/10/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
22305 03/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,200.00 CA	1,000.00 200.00
22306 02/10/2024	EMBALLAGES AT	MIRABEL,PQ SAINT-HONORÉ-DE 575.00 CA	450.00 125.00
22307 07/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOL'TORIGNAL,ON 1,500.00 CA	1,300.00 200.00
22308 03/10/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON 1,250.00 CA	900.00 350.00
22309 04/10/2024	SCOTTS CANADA LTD	LACHINE,PQ MIRAMICHI,NB 625.00 CA	475.00 150.00
22310 07/10/2024	SCOTTS CANADA LTD	LACHINE,PQ L'ORIGNAL,ON 735.00 CA	550.00 185.00
22311 08/10/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,100.00 400.00
22312 10/10/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22314 09/10/2024	SCOTTS CANADA LTD	LACHINE,PQ L'ORIGNAL,ON 735.00 CA	550.00 185.00
22315 11/10/2024	SCOTTS CANADA LTD	LACHINE,PQ L'ORIGNAL,ON 735.00 CA	550.00 185.00
22316 08/10/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
22317 07/10/2024	SCOTTS CANADA LTD	ST-BONAVENTURE ST-MARGARETS,NB 700.00 CA	475.00 225.00
22318 07/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,750.00 CA	1,450.00 300.00
22319 08/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON 1,750.00 CA	1,450.00 300.00
22320 08/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,750.00 CA	1,450.00 300.00
22321 09/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON 1,750.00 CA	1,450.00 300.00
22322 08/10/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
22323 09/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,750.00 CA	1,450.00 300.00
22324 10/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON 1,750.00 CA	1,450.00 300.00
22325 10/10/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,750.00 CA	1,450.00 300.00
22326 11/10/2024	SCOTTS DELHI	L'ORIGNAL,ON DELHI,ON 1,750.00 CA	1,450.00 300.00
