Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2024	12/31/2024		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
22275 04/09/2024	DEXTER	LONGUEUIL,PQ COOKSTOWN,ON 1,250.00 CA	1,000.00 250.00
22276 06/09/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 300.00 CA	175.00 125.00
22277 09/09/2024	EMBALLAGES AT	MIRABEL,PQ NOUVELLE-OUEST, 515.00 CA	400.00 115.00
22278 05/09/2024	DEXTER	LONGUEUIL,PQ ST-ROMAIN,PQ 1,100.00 CA	900.00 200.00
22279 09/09/2024	EMBALLAGES AT	MIRABEL,PQ SACRÉ-COEUR,PQ 1,050.00 CA	850.00 200.00
22280 06/09/2024	SCOTTS CANADA LTD	SAINT CATHARINESST-BONAVENTURE 1,350.00 CA	1,000.00 350.00
22281 09/09/2024	SCOTTS CANADA LTD	ST-BONAVENTURE ST-LUDGER DE MILOT 600.00 CA	398.04 201.96
22282 10/09/2024	DEXTER	LONGUEUIL,PQ ST-VALÈRE,PQ 750.00 CA	605.00 145.00
22283 11/09/2024	DEXTER	LONGUEUIL,PQ MONTMAGNY,PQ 700.00 CA	450.00 250.00
22284 12/09/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 300.00 CA	175.00 125.00
22285 12/09/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,150.00 CA	950.00 200.00
22286 13/09/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,300.00 CA	1,100.00 200.00
22287 16/09/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,300.00 CA	1,100.00 200.00
22288 16/09/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON 1,750.00 CA	1,500.00 250.00
22289 16/09/2024	EMBALLAGES AT	MIRABEL,PQ ST-JUST DE BRETENIERES825.00 CA	600.00 225.00
