Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2023	12/31/2023			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
21846 15/06/2023	SCOTTS CANADA LTD	DELHI,ON ST-BONAVENTURE	1,325.00 CA	1,150.00 175.00
21847 09/06/2023	EMBALLAGES AT	ST-EPHREM DE BEAMUICREABEL,PQ	450.00 CA	340.00 110.00
21848 15/06/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	250.00 CA	145.00 105.00
21849 21/06/2023	BIOVERT	MONTREAL-NORD,PTQERREBONNE,PQ	550.00 CA	350.00 200.00
21850 21/06/2023	BIOVERT	MONTREAL-NORD,PTQERREBONNE,PQ	550.00 CA	350.00 200.00
21851 21/06/2023	ENGRAIS McINNES	STANSTEAD,PQ GATINEAU,PQ	310.00 CA	210.53 99.47
21852 21/06/2023	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ	150.00 CA	115.00 35.00
21853 21/06/2023	SCOTTS CANADA LTD	STANSTEAD,PQ ST-BONAVENTURE	325.00 CA	212.93 112.07
21854 27/06/2023	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	269.00 CA	134.20 134.80
21855 28/06/2023	SCOTTS CANADA LTD	DELHI,ON ST-BONAVENTURE	575.00 CA	462.27 112.73
21856 11/07/2023	CAPMATIC	MONTREAL-NORD,PCQYPRESS,CA	7,995.00 CA	7,000.00 995.00
21857 05/07/2023	ENGRAIS McINNES	STANSTEAD,PQ GOWANSTOWN,PQ	1,250.00 CA	1,050.00 200.00
21858 04/07/2023	ENGRAIS McINNES	QUEBEC,PQ GOWANSTOWN,PQ	1,250.00 CA	1,050.00 200.00
21859 07/07/2023	CAPMATIC	MONTREAL-NORD,PBQOISBRIAND,PQ	600.00 CA	400.00 200.00
21860 06/07/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ MISSISSAUGA,ON	1,200.00 CA	850.00 350.00
21861 05/07/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	650.00 CA	500.00 150.00
21862 06/07/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	350.00 CA	220.00 130.00
21863 07/07/2023	ENGRAIS McINNES	CONTRECOEUR,PQSTANSTEAD,PQ	1,050.00 CA	850.00 200.00
21864 10/07/2023	CAPMATIC	MONTREAL-NORD,PLQEAMINGTON,ON	1,800.00 CA	1,300.00 500.00
21865 14/07/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21866 19/07/2023	CAPMATIC	MONTREAL-NORD,PSQT-LAURENT,PQ	150.00 CA	115.00 35.00
21867 19/07/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-QUENTIN,NB	700.00 CA	475.00 225.00
21868 20/07/2023	EMBALLAGES AT	MIRABEL,PQ WEST BRANCH,NB	875.00 CA	700.00 175.00
21869 21/07/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	425.00 CA	265.00 160.00
21870 21/07/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	650.00 CA	500.00 150.00
21871 25/07/2023	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
21872 01/08/2023	CAPMATIC	MONTREAL-NORD,PSQT-LAURENT,PQ	150.00 CA	115.00 35.00
21873 02/08/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	350.00 CA	190.00 160.00
21874 03/08/2023	DEXTER	LONGUEUIL,PQ TILLSONBURGH,ON	1,550.00 CA	1,300.00 250.00
21875 08/08/2023	CAPMATIC	MONTREAL-NORD,PMQONTREAL-NORD,PQ	350.00 CA	230.00 120.00
21876 08/08/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	300.00 CA	180.00 120.00
