Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
21877 09/08/2023	EMBALLAGES AT	MIRABEL,PQ COURCELLES,PQ	195.00 CA	150.00 45.00
21878 16/08/2023	CAPMATIC	CYPRESS,CA MONTREAL-NORD,PQ	6,950.00 CA	5,800.00 1,150.00
21879 17/08/2023	DEXTER	LONGUEUIL,PQ TILLSONBURGH,ON	1,550.00 CA	1,300.00 250.00
21880 22/08/2023	EMBALLAGES AT	HOT SPRINGS,AR MIRABEL,PQ	1,175.00 CA	1,000.00 175.00
21881 30/08/2023	CAPMATIC	MONTREAL-NORD,PLQAS VEGAS,NV	8,250.00 CA	7,000.00 1,250.00
21882 30/08/2023	CAPMATIC	MONTREAL-NORD,PLQAS VEGAS,NV	8,250.00 CA	7,000.00 1,250.00
21883 25/08/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	300.00 CA	175.00 125.00
21884 25/08/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ EDMONTON,AB	1,125.00 CA	750.00 375.00
21885 25/08/2023	LEGGI TRANSPORT	MONTREAL,PQ DORVAL,PQ	0.00 CA	0.00 0.00
21886 15/09/2023	CAPMATIC	LAS VEGAS,NV MONTREAL-NORD,PQ	9,250.00 CA	7,500.00 1,750.00
21887 26/09/2023	CAPMATIC	LAS VEAGS,NV MONTREAL-NORD,PQ	9,250.00 CA	7,750.00 1,500.00
21888 30/08/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	775.00 CA	600.00 175.00
21889 08/09/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	250.00 CA	145.00 105.00
21890 14/09/2023	ENGRAIS McINNES	CONTRECOEUR,PQSTUCKLEY SUD,PQ	995.00 CA	800.00 195.00
21891 18/09/2023	DEXTER	LONGUEUIL,PQ BROOKLYN,NS	2,000.00 CA	1,400.00 600.00
21892 18/09/2023	EMBALLAGES AT	LANDRIENNE,PQ MIRABEL,PQ	1,500.00 CA	1,300.00 200.00
21893 19/09/2023	CASCADES SONOCO INC.	ST-LAURENT,PQ BERTHIERVILLE,PQ	295.00 CA	200.00 95.00
21894 20/09/2023	SCOTTS CANADA LTD	L'ORIGNAL,ON ST-BONAVENTURE	350.00 CA	254.43 95.57
