Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2025	09/14/2025			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
23018 17/07/2025	SCOTTS DELHI	ST-LUDGER DE MILODTELHI,ON	2,400.00 CA	2,100.00 300.00
23019 14/07/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
23020 15/07/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
23021 09/07/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON L'ORIGNAL,ON	150.00 CA	0.00 150.00
23022 15/07/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB	865.00 CA	650.00 215.00
23023 15/07/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	250.00 CA	130.00 120.00
23024 15/07/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	495.00 CA	365.41 129.59
23025 17/07/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
23026 21/07/2025	SCOTTS DELHI	ST-LUDGER DE MILODTELHI,ON	2,400.00 CA	2,100.00 300.00
23027 21/07/2025	SCOTTS CANADA LTD	ST-BONAVENTURE ST-MARGARETS,NB	850.00 CA	650.00 200.00
23028 21/07/2025	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB	750.00 CA	550.00 200.00
23029 22/07/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
23030 23/07/2025	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	225.00 CA	125.00 100.00
23031 25/07/2025	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ	275.00 CA	160.00 115.00
23033 29/07/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	250.00 CA	145.00 105.00
23034 30/07/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
23035 29/07/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
23036 30/07/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
23037 30/01/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,000.00 500.00
23038 31/07/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
23039 01/08/2025	EMBALLAGES AT	HAYWARD,CA MIRABEL,PQ	2,525.00 CA	1,600.00 925.00
