Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2022	12/31/2022		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
21454 10/03/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQBIRMINGHAM,AL 3,000.00 CA	2,000.00 1,000.00
21455 11/03/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 450.00 CA	235.00 215.00
21456 14/03/2022	CAPMATIC	MONTREAL-NORD,PBQOUCHERVILLE,PQ 150.00 CA	115.00 35.00
21457 01/04/2022	CAPMATIC	MONTREAL-NORD,PAQNAHEIM,CA 8,450.00 CA	7,627.50 822.50
21458 18/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,700.00 CA	1,400.00 300.00
21459 18/03/2022	EMBALLAGES AT	MIRABEL,PQ SAINT-PAMPHILE,PQ 975.00 CA	800.00 175.00
21460 21/03/2022	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
21461 21/03/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 375.00 CA	250.00 125.00
21462 22/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,550.00 CA	1,150.00 400.00
21463 22/03/2022	EMBALLAGES AT	MIRABEL,PQ LAMBTON,PQ 300.00 CA	226.00 74.00
21464 21/03/2022	CAPMATIC	MONTREAL-NORD,PMQONTREAL-NORD,PQ 0.04 CA	0.00 0.04
21465 22/03/2022	EMBALLAGES AT	MIRABEL,PQ ST-BENOIT-LABRE, 1,225.00 CA	980.00 245.00
21467 23/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,500.00 CA	1,250.00 250.00
21469 24/03/2022	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ 150.00 CA	130.00 20.00
21470 29/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,500.00 CA	1,250.00 250.00
21471 25/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,150.00 250.00
21472 28/03/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 315.00 CA	190.00 125.00
21474 30/03/2022	CAPMATIC	MONTREAL-NORD,PCQYPRESS,CA 2,800.00 CA	2,300.00 500.00
21475 31/03/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ OTTAWA,ON 250.00 CA	175.00 75.00
21476 05/04/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,500.00 CA	1,250.00 250.00
21477 12/04/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21478 12/04/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ LAS VEGAS,NV 3,200.00 CA	2,500.00 700.00
21479 18/04/2022	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV LAS VEGAS,NV 1,350.00 CA	931.68 418.32
21480 28/04/2022	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV LAS VEGAS,NV 1,100.00 CA	741.23 358.77
21481 29/04/2022	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV MONTREAL,PQ 1,976.00 CA	1,376.97 599.03
21482 29/04/2022	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV LAS VEGAS,NV 1,100.00 CA	781.53 318.47
21483 13/04/2022	EMBALLAGES AT	MIRABEL,PQ WINDOM ,MN 975.00 CA	800.00 175.00
21484 12/04/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21485 27/04/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,050.00 250.00
21486 02/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,050.00 250.00
21487 28/04/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,150.00 250.00
21488 14/04/2022	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21489 19/04/2022	CAPMATIC	MONTREAL-NORD,PCQYPRESS,CA 7,250.00 CA	6,500.00 750.00
21490 20/04/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ LAS VEGAS,NV 850.00 CA	675.00 175.00
21491 20/04/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	145.00 80.00
21492 21/04/2022	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 275.00 CA	165.00 110.00
21493 21/04/2022	EMBALLAGES AT	MIRABEL,PQ WINDOM,MN 1,375.00 CA	1,150.00 225.00
21494 25/04/2022	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
21495 25/04/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 435.00 CA	250.00 185.00
21496 02/05/2022	CRISTAL IINOVATION	ST-BRUNO-DE-MONTSATR-BVRILULNEO-DE-MONTARV1I,L0L2E7.50 CA	0.00 1,027.50
21497 10/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,000.00 400.00
21498 06/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,050.00 250.00
21499 09/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,050.00 350.00
21500 10/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,200.00 200.00
21501 11/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,050.00 350.00
21502 18/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,700.00 CA	1,500.00 200.00
21503 13/05/2022	EMBALLAGES AT	GOLD HILL,OR MIRABEL,PQ 1,750.00 CA	1,289.48 460.52
21504 19/05/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,600.00 CA	1,300.00 300.00
21505 19/05/2022	CAPMATIC	MONTREAL-NORD,PMQONTREAL-NORD,PQ 390.00 CA	240.00 150.00
