Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2025	09/14/2025			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22812 05/03/2025	CAPMATIC	MONTREAL-NORD,PAQTLANTA,GA	5,750.00 CA	4,800.00 950.00
22813 14/03/2025	CAPMATIC	ATLANTA,GA MONTREAL-NORD,PQ	4,850.00 CA	3,900.00 950.00
22814 28/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22815 07/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22816 28/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,500.00 650.00
22817 25/02/2025	EMBALLAGES AT	MIRABEL,PQ WEST BRANCH,NB	700.00 CA	575.00 125.00
22818 27/02/2025	SCOTTS DELHI	DELHI,ON MIRAMICHI,NB	725.00 CA	546.57 178.43
22819 03/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22820 03/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22821 03/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,700.00 450.00
22822 10/03/2025	CAPMATIC	MONTREAL-NORD,PFQAIRFIELD,NJ	3,500.00 CA	2,800.00 700.00
22823 04/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22824 04/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22825 04/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,600.00 550.00
22826 05/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22827 05/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22828 05/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,500.00 650.00
22829 06/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22830 06/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22831 06/03/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,600.00 550.00
22832 06/03/2025	EMBALLAGES AT	MIRABEL,PQ SAINT-PAMPHILE,PQ	945.00 CA	780.00 165.00
22833 11/03/2025	CAPMATIC	MONTREAL-NORD,PFQAIRFIELD,NJ	3,000.00 CA	2,300.00 700.00
