Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
22835 06/03/2025	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB	625.00 CA	450.00 175.00
22836 10/03/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	250.00 CA	145.00 105.00
22837 06/03/2025	SCOTTS QUALI-GRO	ST-HUBERT,PQ L'ORIGNAL,ON	395.00 CA	252.00 143.00
22838 06/03/2025	SCOTTS DELHI	ST-HUBERT,PQ DELHI,ON	1,075.00 CA	950.00 125.00
22839 12/03/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB	595.00 CA	425.00 170.00
22840 13/03/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	130.00 95.00
22841 13/03/2025	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	975.00 CA	700.00 275.00
22842 14/03/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	365.00 CA	240.86 124.14
22843 20/03/2025	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,250.00 CA	1,050.00 200.00
22844 18/03/2025	ENGRAIS McINNES	BEDFORD,PQ STANSTEAD,PQ	875.00 CA	700.00 175.00
22845 19/03/2025	ENGRAIS McINNES	BEDFORD,PQ STANSTEAD,PQ	530.00 CA	385.00 145.00
22846 25/03/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22847 27/03/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22848 21/03/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB	1,075.00 CA	850.00 225.00
22849 24/03/2025	SCOTTS DELHI	LACHINE,PQ DELHI,ON	365.00 CA	239.90 125.10
22850 25/03/2025	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22851 27/03/2025	SCOTTS CANADA LTD	SAINT-NICOLAS,PQ ST-BONAVENTURE	850.00 CA	655.00 195.00
22852 01/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22853 03/04/2025	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22854 27/03/2025	EMBALLAGES AT	MIRABEL,PQ ST-JOHN,NB	685.00 CA	550.00 135.00
22855 31/03/2025	SCOTTS CANADA LTD	CORNWALLIS PARKST-BONAVENTURE	1,325.00 CA	1,124.75 200.25
22856 02/04/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22857 04/04/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22858 08/04/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON	1,250.00 CA	1,000.00 250.00
22859 07/04/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON	1,250.00 CA	1,000.00 250.00
22860 08/04/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON	2,000.00 CA	1,650.00 350.00
22861 07/04/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
