Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2025	09/14/2025			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22967 19/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22968 24/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22969 24/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22970 18/06/2025	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	865.00 CA	700.00 165.00
22971 19/06/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON ST-BONAVENTURE	1,225.00 CA	1,000.00 225.00
22972 20/06/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
22973 19/06/2025	SCOTTS QUALI-GRO	L'ORIGNAL,ON ST-BONAVENTURE	1,250.00 CA	1,000.00 250.00
22974 19/06/2025	SCOTTS CANADA LTD	ST-BONAVENTURE L'ORIGNAL,ON	1,225.00 CA	1,000.00 225.00
22975 19/06/2025	EMBALLAGES AT	MIRABEL,PQ ST-BENOIT-LABRE,	800.00 CA	530.00 270.00
22976 23/06/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	130.00 95.00
22977 23/06/2025	EMBALLAGES AT	MIRABEL,PQ MEADOW LAKE,SK	1,150.00 CA	900.00 250.00
22978 23/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22979 26/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22980 26/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22981 26/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,350.00 CA	1,000.00 350.00
22982 25/06/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22984 25/06/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON	1,250.00 CA	1,000.00 250.00
22985 02/07/2025	SCOTTS DELHI	ST-LUDGER DE MILODTELHI,ON	2,400.00 CA	2,100.00 300.00
22986 02/07/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,500.00 CA	1,200.00 300.00
22987 02/07/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	1,375.00 CA	1,050.00 325.00
