Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2023	12/31/2023		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
21944 08/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21945 07/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21946 10/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21947 08/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21948 10/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21949 10/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21950 08/11/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 650.00 CA	325.00 325.00
21951 10/11/2023	CAPMATIC	FAIRFIELD,NJ MONTREAL-NORD,PQ 575.00 CA	400.00 175.00
21952 14/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21953 15/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,400.00 CA	1,000.00 400.00
21954 16/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21955 17/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21956 10/11/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21957 10/11/2023	VARGAS LOPEZ FERNANDO	LASALLE,PQ ST-THOMAS,PQ 475.00 CA	400.00 75.00
21958 15/11/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
21959 15/11/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21960 20/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21961 21/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21962 22/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21963 23/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21964 24/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21965 16/11/2023	CAPMATIC	TERREBONNE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
21967 17/11/2023	THEATRIXX TECHNOLOGIES	LITHIA SPRINGS,GAMONTREAL,PQ 2,100.00 CA	900.00 1,200.00
21968 22/11/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	130.00 95.00
21972 12/12/2023	TO/GO INFRASTUCTURE	LAS VEGAS,NV ST-JEAN SUR RICHELIEU1,175.00 CA	675.00 500.00
21973 27/11/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21974 30/11/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21975 01/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21976 01/12/2023	CAPMATIC	MONTREAL-NORD,PBQOISBRIAND,PQ 575.00 CA	362.50 212.50
