Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
21977 30/11/2023	SCOTTS CANADA LTD	LACHINE,PQ MIRAMICHI,NB 550.00 CA	450.00 100.00
21978 05/12/2023	CAPMATIC	MONTREAL-NORD,PNQOTRE-DAME-DU-MONT 900.00 CA	700.00 200.00
21979 05/12/2023	SCOTTS CANADA LTD	SAINT CATHARINESST-BONAVENTURE 1,450.00 CA	1,200.00 250.00
21980 07/12/2023	SCOTTS CANADA LTD	SAINT CATHARINESST-BONAVENTURE 1,450.00 CA	1,200.00 250.00
21981 04/12/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21982 06/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21983 07/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21984 08/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21986 05/12/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 650.00 CA	325.00 325.00
21987 12/12/2023	CAPMATIC	MONTREAL-NORD,PSQT-BRUNO,PQ 550.00 CA	375.00 175.00
21988 06/12/2023	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,150.00 CA	950.00 200.00
21989 07/12/2023	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ 165.00 CA	115.00 50.00
21990 08/12/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-QUENTIN,NB 675.00 CA	600.00 75.00
21991 11/12/2023	DEXTER	LONGUEUIL,PQ MONTMAGNY,PQ 1,600.00 CA	1,300.00 300.00
21992 11/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21993 12/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,300.00 CA	1,000.00 300.00
21994 12/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21995 13/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,300.00 CA	1,000.00 300.00
21996 14/12/2023	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,450.00 CA	1,150.00 300.00
21997 11/12/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
