Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2022	12/31/2022			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
21556 16/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21557 17/06/2022	EMBALLAGES AT	MIRABEL,PQ SAINT-PAMPHILE,PQ	390.00 CA	330.00 60.00
21558 20/06/2022	EMBALLAGES AT	SAINT-PAMPHILE,PQMIRABEL,PQ	550.00 CA	475.00 75.00
21559 16/06/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	3,750.00 CA	3,400.00 350.00
21560 17/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21561 17/06/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	285.00 CA	175.00 110.00
21562 22/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21563 22/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21564 20/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21565 20/06/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	3,750.00 CA	3,400.00 350.00
21566 21/06/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	255.00 CA	160.00 95.00
21567 23/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON	1,650.00 CA	1,300.00 350.00
21568 24/06/2022	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON	1,650.00 CA	1,250.00 400.00
21569 27/06/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	405.00 CA	235.00 170.00
21571 06/07/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,250.00 CA	1,050.00 200.00
21572 28/06/2022	EMBALLAGES AT	GOLD HILL,OR MIRABEL,PQ	1,850.00 CA	1,485.63 364.37
21573 05/07/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21574 06/07/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQCALGARY,AB	1,350.00 CA	950.00 400.00
21575 06/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21576 07/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21577 08/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21578 06/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21579 07/07/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
21580 11/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21581 12/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21582 13/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21583 06/07/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQCALGARY,AB	1,000.00 CA	800.00 200.00
21584 08/07/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	285.00 CA	175.00 110.00
21585 14/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21586 18/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21587 12/07/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	145.00 80.00
21588 13/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	950.00 175.00
21589 18/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,025.00 CA	925.00 100.00
21590 19/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,025.00 CA	825.00 200.00
21591 20/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	925.00 200.00
21594 18/07/2022	CAPMATIC	MONTREAL-NORD,PQUÉBEC,PQ	1,000.00 CA	750.00 250.00
21595 18/07/2022	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ	225.00 CA	180.00 45.00
21596 18/07/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQMILWAUKEE,WI	3,350.00 CA	2,700.00 650.00
21598 21/07/2022	EMBALLAGES AT	HOT SPRINGS,AR MIRABEL,PQ	1,879.00 CA	1,497.79 381.21
21599 20/07/2022	CAPMATIC	ST-LAURENT ,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21600 22/07/2022	EMBALLAGES AT	MIRABEL,PQ ST-JOHN,NB	585.00 CA	500.00 85.00
21602 26/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	925.00 200.00
21603 27/07/2022	ROLLAND (SUSTANA)	LÉVIS,PQ ST JEROME,PQ	1,125.00 CA	925.00 200.00
21606 25/07/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	130.00 20.00
21607 27/07/2022	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21608 27/07/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ LAS VEGAS,NV	2,500.00 CA	2,000.00 500.00
21610 27/07/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,250.00 CA	1,025.00 225.00
21611 28/07/2022	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV MONTREAL,PQ	3,550.00 CA	2,941.02 608.98
21612 15/09/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
