Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2024	12/31/2024			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22070 22/03/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22071 20/03/2024	CAPMATIC	ST-LAURENT ,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22072 20/03/2024	SCOTTS CANADA LTD	CORNWALLIS PARKST-BONAVENTURE	875.00 CA	600.00 275.00
22073 20/03/2024	CAPMATIC	LAVAL,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22074 21/03/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	2,400.00 CA	2,000.00 400.00
22075 21/03/2024	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON	1,450.00 CA	1,150.00 300.00
22076 22/03/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	675.00 CA	500.00 175.00
22077 26/03/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22078 27/03/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22079 27/03/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON	2,400.00 CA	2,000.00 400.00
22080 03/04/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22081 05/04/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22082 28/03/2024	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ	150.00 CA	115.00 35.00
22083 28/03/2024	CAPMATIC	TERREBONNE,PQ MONTREAL-NORD,PQ	265.00 CA	145.00 120.00
