Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2025	09/14/2025			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22762 10/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22763 10/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,400.00 750.00
22764 10/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,400.00 750.00
22765 11/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22766 11/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,400.00 750.00
22767 11/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,500.00 650.00
22768 12/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22769 12/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,400.00 750.00
22770 20/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22771 27/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
22772 27/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,650.00 500.00
22773 26/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,500.00 650.00
22774 07/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	975.00 CA	800.00 175.00
22775 07/02/2025	EMBALLAGES AT	MIRABEL,PQ CLAIR ,NB	495.00 CA	375.00 120.00
22776 07/02/2025	SCOTTS CANADA LTD	LACHINE,PQ L'ORIGNAL,ON	495.00 CA	300.00 195.00
22777 10/02/2025	SCOTTS DELHI	DELHI,ON ROCKY VIEW,AB	1,295.00 CA	1,110.00 185.00
22778 10/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,500.00 650.00
22779 12/02/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,350.00 CA	1,100.00 250.00
22780 19/02/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,350.00 CA	1,100.00 250.00
22781 12/02/2025	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	495.00 CA	325.00 170.00
22782 18/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,400.00 750.00
22783 18/02/2025	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	2,150.00 CA	1,750.00 400.00
