Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
21827 29/05/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 350.00 CA	200.00 150.00
21828 29/05/2023	EMBALLAGES AT	MIRABEL,PQ LA SARRE,PQ 800.00 CA	650.00 150.00
21829 06/06/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,100.00 400.00
21830 30/05/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21831 05/06/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ ORLANDO,FL 5,835.00 CA	4,646.00 1,189.00
21832 17/06/2023	THEATRIXX TECHNOLOGIES	ORLANDO,FL MONTREAL,PQ 3,200.00 CA	2,189.61 1,010.39
21833 31/05/2023	CAPMATIC	ST-HUBERT,PQ MONTREAL-NORD,PQ 675.00 CA	450.00 225.00
21834 01/06/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 400.00 CA	235.00 165.00
21835 02/06/2023	EMBALLAGES AT	MIRABEL,PQ ST-FÉLICIEN,PQ 195.00 CA	158.77 36.23
21836 01/06/2023	SCOTTS CANADA LTD	ST-LAURENT,PQ L'ORIGNAL,ON 425.00 CA	280.00 145.00
21837 02/06/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21838 05/06/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 225.00 CA	115.00 110.00
21839 08/06/2023	EMBALLAGES AT	MIRABEL,PQ ST-BENOIT-LABRE, 800.00 CA	680.00 120.00
21840 09/06/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 275.00 CA	160.00 115.00
21841 09/06/2023	SCOTTS CANADA LTD	DELHI,ON ST-BONAVENTURE 1,200.00 CA	1,000.00 200.00
21842 15/06/2023	SCOTTS CANADA LTD	DELHI,ON ST-BONAVENTURE 1,325.00 CA	1,150.00 175.00
21843 14/06/2023	EMBALLAGES AT	MIRABEL,PQ LAMBTON,PQ 230.00 CA	160.00 70.00
21844 14/06/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-PAMPHILE,PQ 375.00 CA	285.00 90.00
21845 14/06/2023	EMBALLAGES AT	SAINT-PAMPHILE,PQMIRABEL,PQ 800.00 CA	700.00 100.00
