Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2023	12/31/2023		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
21793 06/04/2023	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ 650.00 CA	500.00 150.00
21794 07/04/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ ORLANDO,FL 2,440.00 CA	1,800.00 640.00
21795 13/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21796 14/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21797 13/04/2023	EMBALLAGES AT	MIRABEL,PQ SAINT-QUENTIN,NB 700.00 CA	575.00 125.00
21798 12/04/2023	CAPMATIC	POINTE-CLAIRE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21800 17/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21801 19/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21802 19/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,100.00 300.00
21803 20/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21804 17/04/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 250.00 CA	145.00 105.00
21805 21/04/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21806 24/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21807 25/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,100.00 300.00
21808 27/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21809 28/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	950.00 250.00
21810 25/04/2023	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ 150.00 CA	100.00 50.00
21811 25/04/2023	GMJ LOGISTIQUE	CALGARY,AB MONTREAL-EST,PQ 488.00 CA	362.53 125.47
21812 26/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21813 01/05/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21814 04/05/2023	CAPMATIC	MONTREAL-NORD,PLQONDON,ON 2,800.00 CA	2,000.00 800.00
21815 02/05/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21816 04/05/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,100.00 300.00
21817 02/05/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 275.00 CA	160.00 115.00
21819 05/05/2023	SCOTTS CANADA LTD	STANSTEAD,PQ ST-MARGARETS,NB 795.00 CA	583.78 211.22
21820 12/05/2023	CAPMATIC	MONTREAL-NORD,PTQERREBONNE,PQ 150.00 CA	115.00 35.00
21821 12/05/2023	CAPMATIC	MONTREAL-NORD,PSQT-HUBERT,PQ 500.00 CA	400.00 100.00
21822 12/05/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 325.00 CA	190.00 135.00
21825 24/05/2023	ENGRAIS McINNES	STANSTEAD,PQ GATINEAU,PQ 349.00 CA	264.99 84.01
21826 25/05/2023	EMBALLAGES AT	MIRABEL,PQ ST-JUST DE BRETENIER1E,S075.00 CA	875.00 200.00
