Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2025	09/14/2025		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
23069 20/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,350.00 CA	1,000.00 350.00
23070 18/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
23071 19/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
23072 14/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
23073 14/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
23074 14/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
23075 13/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
23076 14/08/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON 1,900.00 CA	1,500.00 400.00
23077 14/08/2025	SCOTTS QUALI-GRO	SAINT PAMPHILE,PQL'ORIGNAL,ON 1,900.00 CA	1,500.00 400.00
23078 14/08/2025	CADEXAIR	Varennes,PQ Toronto,ON 255.00 CA	134.98 120.02
23079 14/08/2025	THEATRIXX TECHNOLOGIES	DORVAL,PQ ST-BRUNO DE MONTARVIL2L2E5.00 CA	140.00 85.00
23080 18/08/2025	THEATRIXX TECHNOLOGIES	HALIFAX,NS ST-BRUNO DE MONTARVIL3L9E0.00 CA	300.00 90.00
23081 18/08/2025	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,100.00 CA	900.00 200.00
23083 18/08/2025	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,100.00 CA	900.00 200.00
23084 20/08/2025	SCOTTS CANADA LTD	MOBILE ,AL ST-BONAVENTURE 1,700.00 CA	1,350.00 350.00
23085 19/08/2025	EMBALLAGES AT	MIRABEL,PQ REVELSTOKE,BC 1,350.00 CA	1,175.00 175.00
23086 25/08/2025	THEATRIXX TECHNOLOGIES	ST-BRUNO DE MONTPAORWVEILLLLE,OH 825.00 CA	657.57 167.43
23087 25/08/2025	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,200.00 CA	900.00 300.00
23088 25/08/2025	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE 1,200.00 CA	900.00 300.00
23089 25/08/2025	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON 1,500.00 CA	1,200.00 300.00
