Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2022	12/31/2022			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
21664 14/10/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ MISSISSAUGA,ON	1,550.00 CA	1,350.00 200.00
21666 24/10/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
21667 18/10/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	150.00 CA	115.00 35.00
21668 18/10/2022	THEATRIXX TECHNOLOGIES	DORVAL,PQ MONTREAL,PQ	150.00 CA	115.00 35.00
21669 20/10/2022	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	1,250.00 CA	1,000.00 250.00
21670 20/10/2022	THEATRIXX TECHNOLOGIES	DORVAL,PQ MONTREAL,PQ	150.00 CA	115.00 35.00
21671 24/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	950.00 350.00
21672 24/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	950.00 450.00
21673 25/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON	1,600.00 CA	1,350.00 250.00
21674 25/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21675 25/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21676 25/10/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
21677 25/10/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
21678 26/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	950.00 350.00
21679 26/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21680 27/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21681 27/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21682 26/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21683 28/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21684 31/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21685 27/10/2022	THEATRIXX TECHNOLOGIES	TERREBONNE,PQ MONTREAL,PQ	175.00 CA	115.00 60.00
21686 31/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21687 31/10/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21688 01/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21689 01/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21690 01/11/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
21691 02/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21692 02/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21693 03/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21694 03/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21695 02/11/2022	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	1,750.00 CA	1,500.00 250.00
21696 03/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21697 07/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21698 04/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21699 07/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21700 07/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21701 08/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21702 04/11/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
21703 08/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21704 10/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21705 17/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21706 15/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21707 17/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
21708 10/11/2022	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	1,675.00 CA	1,275.00 400.00
21709 10/11/2022	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	1,675.00 CA	1,275.00 400.00
21710 09/11/2022	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	1,300.00 CA	1,000.00 300.00
21711 15/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,600.00 CA	1,100.00 500.00
21712 15/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
21713 18/11/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,400.00 CA	1,100.00 300.00
