Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
22522 07/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22523 07/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22524 07/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22525 08/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22526 08/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22527 08/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22528 08/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22529 08/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22530 08/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22531 06/11/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,050.00 250.00
22532 06/11/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,050.00 250.00
22533 05/11/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,050.00 250.00
22534 31/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	950.00 250.00
22535 05/11/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	950.00 250.00
22536 04/11/2024	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22537 07/11/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,450.00 CA	1,200.00 250.00
22538 06/11/2024	SCOTTS CANADA LTD	ST-BONAVENTURE ST-MARGARETS,NB	1,275.00 CA	1,025.00 250.00
22539 07/11/2024	SCOTTS DELHI	DELHI,ON MIRAMICHI,NB	3,350.00 CA	3,000.00 350.00
22540 15/11/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22542 08/11/2024	CAPMATIC	MONTREAL-NORD,PSQT-LAURENT,PQ	150.00 CA	100.00 50.00
22543 11/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22544 11/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22545 11/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,400.00 350.00
22546 11/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22547 11/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22548 08/11/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	750.00 CA	550.00 200.00
22549 11/11/2024	SCOTTS CANADA LTD	LACHINE,PQ MIRAMICHI,NB	625.00 CA	450.00 175.00
22550 12/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22551 12/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22553 12/11/2024	CAPMATIC	MONTREAL-NORD,PMQONTREAL,PQ	300.00 CA	225.00 75.00
22554 14/11/2024	CAPMATIC	MONTREAL,PQ MONTREAL-NORD,PQ	450.00 CA	350.00 100.00
22555 13/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,400.00 350.00
22556 12/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22557 12/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
