Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2024	12/31/2024			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22505 06/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22506 05/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22507 05/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22508 05/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22509 05/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22510 05/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,400.00 350.00
22511 06/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22512 06/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22513 06/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22514 06/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
22515 06/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,400.00 350.00
22516 30/10/2024	SCOTTS CANADA LTD	ST-BONAVENTURE MIRAMICHI,NB	700.00 CA	475.00 225.00
22517 30/10/2024	EMBALLAGES AT	MIRABEL,PQ AMOS,PQ	850.00 CA	650.00 200.00
22520 30/10/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
22521 07/11/2024	SCOTTS DELHI	DELHI,ON L'ORIGNAL,ON	1,750.00 CA	1,450.00 300.00
